Car Details,Car Price,Car Name
"CaracterísticasFIAT 147 C/ CLCategoriaCarros, vans e utilitáriosModeloFIAT 147 C/ CLMarcaFIATTipo de veículoHatchAno1985Quilometragem1000Potência do motor1.4CombustívelGasolinaPossui Kit GNVNãoCâmbioManualCorOutraPortas2 portasFinal de placa3Tipo de direçãoHidráulica",R$7.000,
"CaracterísticasCHEVROLET SPIN LS 1.8 8V ECONO.FLEX 5P MEC.CategoriaCarros, vans e utilitáriosModeloCHEVROLET SPIN LS 1.8 8V ECONO.FLEX 5P MEC.MarcaCHEVROLETTipo de veículoVan/UtilitárioAno2018Quilometragem100Potência do motor1.8CombustívelFlexPossui Kit GNVNãoCâmbioManualCorPrataPortas4 portasFinal de placa9Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSomTrava elétricaVidro elétrico",R$49.900,
"CaracterísticasFIAT TORO RANCH 2.0 16V 4X4 DIESEL AUT.CategoriaCarros, vans e utilitáriosModeloFIAT TORO RANCH 2.0 16V 4X4 DIESEL AUT.MarcaFIATTipo de veículoPick-upAno2021Quilometragem46836Potência do motor2.0 - 2.9CombustívelDieselPossui Kit GNVNãoCâmbioAutomáticoCorBrancoPortas4 portasFinal de placa1Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",Prix non trouvé,
"CaracterísticasFORD FIESTA GL 1.0 5PCategoriaCarros, vans e utilitáriosModeloFORD FIESTA GL 1.0 5PMarcaFORDTipo de veículoHatchAno2002Quilometragem140000Potência do motor1.0CombustívelGasolinaPossui Kit GNVNãoCâmbioManualCorPrataPortas4 portasFinal de placa6Tipo de direçãoMecânicaVer OpcionaisOpcionaisAlarmeSomTrava elétrica",R$7.500,
"CaracterísticasCITROEN C3 TENDANCE 1.5 FLEX 8V 5P MEC.CategoriaCarros, vans e utilitáriosModeloCITROEN C3 TENDANCE 1.5 FLEX 8V 5P MEC.MarcaCITROENTipo de veículoHatchAno2015Quilometragem89000Potência do motor1.5CombustívelFlexPossui Kit GNVNãoCâmbioManualCorPretoPortas4 portasFinal de placa4Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAir bagAr condicionadoSomVidro elétrico",R$409.903,
"CaracterísticasVOLKSWAGEN SAVEIRO ROBUST 1.6 TOTAL FLEX 8VCategoriaCarros, vans e utilitáriosModeloVOLKSWAGEN SAVEIRO ROBUST 1.6 TOTAL FLEX 8VMarcaVOLKSWAGENTipo de veículoPick-upAno2021Quilometragem67000Potência do motor1.6CombustívelFlexPossui Kit GNVNãoCâmbioManualCorBrancoPortas2 portasFinal de placa2Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoSomTrava elétricaVidro elétrico",R$63.900,
"CaracterísticasTOYOTA COROLLA SE-G 1.8/1.8 FLEX 16V AUT.CategoriaCarros, vans e utilitáriosModeloTOYOTA COROLLA SE-G 1.8/1.8 FLEX 16V AUT.MarcaTOYOTATipo de veículoSedãAno2005Quilometragem255000Potência do motor1.8CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorPretoPortas4 portasFinal de placa7Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoSomTrava elétricaVidro elétrico",R$16.500,
"CaracterísticasFIAT PALIO ELX/ 500 1.0 4PCategoriaCarros, vans e utilitáriosModeloFIAT PALIO ELX/ 500 1.0 4PMarcaFIATTipo de veículoHatchAno1997Quilometragem999999Potência do motor1.0CombustívelGasolinaPossui Kit GNVNãoCâmbioManualCorAzulPortas4 portasFinal de placa3Tipo de direçãoMecânica",R$3.000,
"CaracterísticasFIAT MOBI LIKE 1.0 FIRE FLEX 5P.CategoriaCarros, vans e utilitáriosModeloFIAT MOBI LIKE 1.0 FIRE FLEX 5P.MarcaFIATTipo de veículoHatchAno2022Quilometragem17793Potência do motor1.0CombustívelFlexPossui Kit GNVNãoCâmbioManualCorPrataPortas4 portasFinal de placa7Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAr condicionadoTrava elétrica",R$56.090,
"CaracterísticasVOLKSWAGEN VOYAGE 1.6 MSI FLEX 16V 4P AUTCategoriaCarros, vans e utilitáriosModeloVOLKSWAGEN VOYAGE 1.6 MSI FLEX 16V 4P AUTMarcaVOLKSWAGENTipo de veículoSedãAno2021Quilometragem19500Potência do motor1.6CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorBrancoPortas4 portasFinal de placa4Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoSomTrava elétricaVidro elétrico",R$64.900,
"CaracterísticasKIA MOTORS SPORTAGE EX 2.0 16V/ 2.0 16V FLEX AUT.CategoriaCarros, vans e utilitáriosModeloKIA MOTORS SPORTAGE EX 2.0 16V/ 2.0 16V FLEX AUT.MarcaKIA MOTORSAno2015Quilometragem110000Potência do motor2.0 - 2.9CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorPrataPortas4 portasFinal de placa8Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAr condicionadoSensor de réVidro elétrico",R$87.990,
"CaracterísticasCHEVROLET CRUZE LTZ 1.8 16V FLEXPOWER 4P AUT.CategoriaCarros, vans e utilitáriosModeloCHEVROLET CRUZE LTZ 1.8 16V FLEXPOWER 4P AUT.MarcaCHEVROLETTipo de veículoSedãAno2012Quilometragem133000Potência do motor1.8CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorPretoPortas4 portasFinal de placa9Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoSensor de réSomTrava elétricaVidro elétrico",R$53.000,
"CaracterísticasCHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4PCategoriaCarros, vans e utilitáriosModeloCHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4PMarcaCHEVROLETTipo de veículoSedãAno2008Quilometragem92635Potência do motor1.0CombustívelFlexPossui Kit GNVNãoCâmbioManualCorPretoPortas4 portasFinal de placa5Tipo de direçãoMecânica",R$18.900,
"CaracterísticasMERCEDES-BENZ GLA-200 ADV. 1.6/1.6 TB 16V FLEX  AUT.CategoriaCarros, vans e utilitáriosModeloMERCEDES-BENZ GLA-200 ADV. 1.6/1.6 TB 16V FLEX  AUT.MarcaMERCEDES-BENZTipo de veículoSUVAno2019Quilometragem41000Potência do motor1.6CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorAzulPortas4 portasFinal de placa0Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",R$149.900,
"CaracterísticasRENAULT DUSTER DYNAMIQUE 2.0  HI-FLEX 16V AUT.CategoriaCarros, vans e utilitáriosModeloRENAULT DUSTER DYNAMIQUE 2.0  HI-FLEX 16V AUT.MarcaRENAULTTipo de veículoSUVAno2017Quilometragem94000Potência do motor2.0 - 2.9CombustívelFlexPossui Kit GNVSimCâmbioAutomáticoCorPrataPortas4 portasFinal de placa0Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",R$64.000,
"CaracterísticasHYUNDAI HB20 EVOLUTION 1.0 FLEX 12V MECCategoriaCarros, vans e utilitáriosModeloHYUNDAI HB20 EVOLUTION 1.0 FLEX 12V MECMarcaHYUNDAITipo de veículoHatchAno2021Quilometragem60678Potência do motor1.0CombustívelFlexPossui Kit GNVNãoCâmbioManualCorPretoPortas4 portasFinal de placa7Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",R$68.990,
"CaracterísticasPEUGEOT 208 ACTIVE/ACTIVE PACK 1.5 FLEX 8V 5PCategoriaCarros, vans e utilitáriosModeloPEUGEOT 208 ACTIVE/ACTIVE PACK 1.5 FLEX 8V 5PMarcaPEUGEOTTipo de veículoHatchAno2014Quilometragem55634Potência do motor1.5CombustívelFlexPossui Kit GNVNãoCâmbioManualCorOutraPortas4 portasFinal de placa5Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAir bagAr condicionadoSomTrava elétricaVidro elétrico",R$35.000,
"CaracterísticasFORD F-1000 SR XK  DESERTER DIESELCategoriaCarros, vans e utilitáriosModeloFORD F-1000 SR XK  DESERTER DIESELMarcaFORDTipo de veículoPick-upAno1992Quilometragem23000000000Potência do motor3.0 - 3.9CombustívelDieselPossui Kit GNVNãoCâmbioManualCorBrancoPortas4 portasFinal de placa1Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAr condicionadoSom",R$29.500,
"CaracterísticasHYUNDAI HB20 PREMIUM 1.6 FLEX 16V AUT.CategoriaCarros, vans e utilitáriosModeloHYUNDAI HB20 PREMIUM 1.6 FLEX 16V AUT.MarcaHYUNDAITipo de veículoHatchAno2013Quilometragem58000Potência do motor1.6CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorPretoPortas4 portasFinal de placa9Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoSomTrava elétricaVidro elétrico",R$43.000,
"CaracterísticasFIAT STRADA WORKING HARD 1.4 FIRE FLEX 8V CSCategoriaCarros, vans e utilitáriosModeloFIAT STRADA WORKING HARD 1.4 FIRE FLEX 8V CSMarcaFIATTipo de veículoPick-upAno2018Quilometragem111065Potência do motor1.4CombustívelFlexPossui Kit GNVNãoCâmbioManualCorBrancoPortas2 portasFinal de placa3Tipo de direçãoHidráulica",R$53.900,
"CaracterísticasFIAT MOBI LIKE 1.0 FIRE FLEX 5P.CategoriaCarros, vans e utilitáriosModeloFIAT MOBI LIKE 1.0 FIRE FLEX 5P.MarcaFIATAno2022Quilometragem23052Potência do motor1.0CombustívelFlexPossui Kit GNVNãoCâmbioManualCorPrataPortas4 portasFinal de placa2Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAr condicionadoSensor de réSomTrava elétricaVidro elétrico",R$56.020,
"CaracterísticasVOLKSWAGEN SAVEIRO CROSS 1.6 T.FLEX 16V CDCategoriaCarros, vans e utilitáriosModeloVOLKSWAGEN SAVEIRO CROSS 1.6 T.FLEX 16V CDMarcaVOLKSWAGENTipo de veículoPick-upAno2017Quilometragem60000Potência do motor1.6CombustívelFlexPossui Kit GNVNãoCâmbioManualPortas2 portasTipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoSensor de réSomTrava elétricaVidro elétrico",Prix non trouvé,
"CaracterísticasRENAULT SANDEROCategoriaCarros, vans e utilitáriosModeloRENAULT SANDEROMarcaRENAULTAno2009Quilometragem103000Potência do motor1.0CombustívelFlexPossui Kit GNVNãoCâmbioManualCorPretoPortas4 portasFinal de placa4Tipo de direçãoHidráulicaVer OpcionaisOpcionaisSom",R$30.500,
"CaracterísticasCHERY TIGGO 7 PRO 1.6 TURBO 16V AUT.CategoriaCarros, vans e utilitáriosModeloCHERY TIGGO 7 PRO 1.6 TURBO 16V AUT.MarcaCHERYTipo de veículoSUVAno2023Quilometragem50610Potência do motor1.6CombustívelGasolinaPossui Kit GNVNãoCâmbioAutomáticoCorAzulPortas4 portasFinal de placa2Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeSensor de ré",R$143.990,
"CaracterísticasFIAT UNO ATTRACTIVE 1.0 EVO FIRE FLEX 8V 5PCategoriaCarros, vans e utilitáriosModeloFIAT UNO ATTRACTIVE 1.0 EVO FIRE FLEX 8V 5PMarcaFIATTipo de veículoHatchAno2021Quilometragem63210Potência do motor1.0CombustívelFlexPossui Kit GNVNãoCâmbioManualCorBrancoPortas4 portasFinal de placa3Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAr condicionadoTrava elétrica",R$47.990,
"CaracterísticasVOLKSWAGEN GOL ROCK IN RIO 1.0 MI TOTAL FLEX 8V 5PCategoriaCarros, vans e utilitáriosModeloVOLKSWAGEN GOL ROCK IN RIO 1.0 MI TOTAL FLEX 8V 5PMarcaVOLKSWAGENTipo de veículoHatchAno2016Quilometragem70Potência do motor1.0CombustívelFlexPossui Kit GNVNãoCâmbioManualCorAzulPortas4 portasTipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoSensor de réSomTrava elétricaVidro elétrico",R$44.990,
"CaracterísticasCHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.CategoriaCarros, vans e utilitáriosModeloCHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.MarcaCHEVROLETTipo de veículoHatchAno2022Quilometragem64000Potência do motor1.0CombustívelFlexPossui Kit GNVNãoCâmbioManualCorVermelhoPortas4 portasFinal de placa1Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",R$66.320,
"CaracterísticasCHEVROLET CORSA WIND 1.0 MPFI / EFI  2PCategoriaCarros, vans e utilitáriosModeloCHEVROLET CORSA WIND 1.0 MPFI / EFI  2PMarcaCHEVROLETTipo de veículoHatchAno1998Quilometragem168000Potência do motor1.0CombustívelGasolinaPossui Kit GNVNãoCâmbioManualCorPrataPortas2 portasFinal de placa6Tipo de direçãoMecânicaVer OpcionaisOpcionaisAlarmeAir bagSomTrava elétricaVidro elétrico",R$12.990,
"CaracterísticasHYUNDAI CRETA ACTION 1.6 16V FLEX AUTCategoriaCarros, vans e utilitáriosModeloHYUNDAI CRETA ACTION 1.6 16V FLEX AUTMarcaHYUNDAITipo de veículoSUVAno2022Quilometragem41295Potência do motor1.6CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorBrancoPortas4 portasFinal de placa6Tipo de direçãoElétricaVer OpcionaisOpcionaisAir bagAr condicionadoTrava elétricaVidro elétrico",R$96.490,
"CaracterísticasJEEP RENEGADE LONGITUDE 1.8 4X2 FLEX 16V AUT.CategoriaCarros, vans e utilitáriosModeloJEEP RENEGADE LONGITUDE 1.8 4X2 FLEX 16V AUT.MarcaJEEPTipo de veículoPasseioAno2021Quilometragem27100CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoPortas4 portasFinal de placa6Ver OpcionaisOpcionaisAlarmeAir bagAir bagAr condicionadoTrava elétricaVidro elétrico",R$95.490,
"CaracterísticasJEEP RENEGADE LONG. T270 1.3 TB 4X2 FLEX AUT.CategoriaCarros, vans e utilitáriosModeloJEEP RENEGADE LONG. T270 1.3 TB 4X2 FLEX AUT.MarcaJEEPTipo de veículoSUVAno2022Quilometragem38548Potência do motor1.3CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorBrancoPortas4 portasFinal de placa0Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeAr condicionadoSensor de réTrava elétrica",R$113.090,
"CaracterísticasHYUNDAI CRETA ACTION 1.6 16V FLEX AUTCategoriaCarros, vans e utilitáriosModeloHYUNDAI CRETA ACTION 1.6 16V FLEX AUTMarcaHYUNDAITipo de veículoSUVAno2022Quilometragem38466Potência do motor1.6CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorPrataPortas4 portasFinal de placa3Tipo de direçãoMecânica",R$98.590,
"CaracterísticasHYUNDAI TUCSON GLS 1.6 TURBO 16V AUT.CategoriaCarros, vans e utilitáriosModeloHYUNDAI TUCSON GLS 1.6 TURBO 16V AUT.MarcaHYUNDAIAno2013Quilometragem155867Potência do motor2.0 - 2.9CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorPrataPortas4 portasFinal de placa6Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionado",R$46.900,
"CaracterísticasAUDI Q3 2.0 TFSI QUAT. 170/180CV S-TRONIC 5PCategoriaCarros, vans e utilitáriosModeloAUDI Q3 2.0 TFSI QUAT. 170/180CV S-TRONIC 5PMarcaAUDITipo de veículoSUVAno2013Quilometragem75000CombustívelGasolinaPossui Kit GNVNãoCâmbioAutomáticoPortas4 portasFinal de placa3Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoBlindadoCâmera de réSensor de réTrava elétricaVidro elétrico",R$84.900,
"CaracterísticasFIAT ARGO TREKKING 1.3 8V FLEX MEC.CategoriaCarros, vans e utilitáriosModeloFIAT ARGO TREKKING 1.3 8V FLEX MEC.MarcaFIATTipo de veículoHatchAno2020Quilometragem21000Potência do motor1.3CombustívelFlexPossui Kit GNVNãoCâmbioManualCorCinzaFinal de placa3Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",R$67.990,
"CaracterísticasVOLKSWAGEN T-CROSS COMFORTLINE 1.0 TSI FLEX 5P AUT.CategoriaCarros, vans e utilitáriosModeloVOLKSWAGEN T-CROSS COMFORTLINE 1.0 TSI FLEX 5P AUT.MarcaVOLKSWAGENTipo de veículoSUVAno2020Quilometragem60000Potência do motor1.0CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorCinzaPortas4 portasFinal de placa0Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",R$105.900,
"CaracterísticasVOLKSWAGEN GOLF 2.0/ 2.0 MI FLEX AUT/TIPTRONIC.CategoriaCarros, vans e utilitáriosModeloVOLKSWAGEN GOLF 2.0/ 2.0 MI FLEX AUT/TIPTRONIC.MarcaVOLKSWAGENTipo de veículoHatchAno2011Quilometragem118000Potência do motor2.0 - 2.9CombustívelFlexPossui Kit GNVNãoCâmbioAutomáticoCorPretoPortas4 portasFinal de placa1Tipo de direçãoHidráulicaVer OpcionaisOpcionaisAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",R$45.000,
"CaracterísticasFORD RANGER LIMITED 3.2 20V 4X4 CD AUT. DIES.CategoriaCarros, vans e utilitáriosModeloFORD RANGER LIMITED 3.2 20V 4X4 CD AUT. DIES.MarcaFORDTipo de veículoPick-upAno2019Quilometragem104000Potência do motor3.0 - 3.9CombustívelDieselPossui Kit GNVNãoCâmbioAutomáticoCorCinzaPortas4 portasFinal de placa8Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",R$172.000,
"CaracterísticasCHEVROLET MONTANA 1.4 8V CONQUEST ECONOFLEX  2PCategoriaCarros, vans e utilitáriosModeloCHEVROLET MONTANA 1.4 8V CONQUEST ECONOFLEX  2PMarcaCHEVROLETTipo de veículoPick-upAno2009Quilometragem100000Potência do motor1.4CombustívelFlexPossui Kit GNVSimCâmbioManualCorPretoPortas2 portasFinal de placa2Tipo de direçãoMecânicaVer OpcionaisOpcionaisAr condicionado",R$26.500,
"CaracterísticasVOLKSWAGEN GOL 1.0 FLEX 12V 5PCategoriaCarros, vans e utilitáriosModeloVOLKSWAGEN GOL 1.0 FLEX 12V 5PMarcaVOLKSWAGENTipo de veículoHatchAno2021Quilometragem38000Potência do motor1.0CombustívelFlexPossui Kit GNVNãoCâmbioManualCorPrataPortas4 portasTipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoSomTrava elétricaVidro elétrico",R$49.900,
"CaracterísticasJEEP COMPASS LIMITED 2.0 4X4 DIESEL 16V AUT.CategoriaCarros, vans e utilitáriosModeloJEEP COMPASS LIMITED 2.0 4X4 DIESEL 16V AUT.MarcaJEEPTipo de veículoSUVAno2020Quilometragem63000Potência do motor2.0 - 2.9CombustívelDieselPossui Kit GNVNãoCâmbioAutomáticoCorCinzaPortas4 portasFinal de placa3Tipo de direçãoElétricaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoCâmera de réSensor de réSomTrava elétricaVidro elétrico",R$144.900,
"CaracterísticasFIAT UNO ATTRACTIVE 1.0 EVO FIRE FLEX 8V 5PCategoriaCarros, vans e utilitáriosModeloFIAT UNO ATTRACTIVE 1.0 EVO FIRE FLEX 8V 5PMarcaFIATTipo de veículoHatchAno2021Quilometragem78000Potência do motor1.0CombustívelFlexPossui Kit GNVNãoCâmbioManualCorPrataPortas4 portasTipo de direçãoHidráulicaVer OpcionaisOpcionaisAlarmeAir bagAr condicionadoSomTrava elétricaVidro elétrico",R$48.900,
