Modele,Marque,Date,Location,Prix,Carburant,Kilométrage,Année,Boîte de vitesse,Departements
Scenic,Renault, 14.11.2023, POLOGNE,2 079 €,ESSENCE,20 000 KM,2006,MANUELLE,74-500
Pajero,Mitsubishi, 14.11.2023, POLOGNE,4 366 €,ESSENCE,230 000 KM,1994,AUTOMATIQUE,74-500
Sportage,Kia, 05.12.2023, POLOGNE,9 702 €,DIESEL,58 000 KM,2013,AUTOMATIQUE,74-500
Passat,Volkswagen, 05.12.2023, POLOGNE,855 €,ESSENCE,294 000 KM,1999,MANUELLE,74-500
Golf sw,Volkswagen, 05.12.2023, POLOGNE,2 310 €,DIESEL,426 000 KM,2008,MANUELLE,74-500
Corolla verso,Toyota, 06.12.2023, POLOGNE,1 848 €,GPL,417 000 KM,2002,MANUELLE,74-500
Vectra,Opel, 06.12.2023, POLOGNE,1 825 €,ESSENCE,291 000 KM,2002,MANUELLE,74-500
Octavia combi,Skoda, 06.12.2023, POLOGNE,2 726 €,DIESEL,384 000 KM,2006,MANUELLE,74-500
Polo,Volkswagen, 07.12.2023, POLOGNE,2 980 €,ESSENCE,182 000 KM,2008,MANUELLE,74-500
A3,Audi, 08.12.2023, POLOGNE,16 054 €,ESSENCE,90 000 KM,2018,MANUELLE,74-500
Golf,Volkswagen, 10.12.2023, POLOGNE,1 201 €,GPL,370 000 KM,2003,MANUELLE,74-500
A7 sportback,Audi, 11.12.2023, POLOGNE,19 865 €,ESSENCE,137 000 KM,2012,AUTOMATIQUE,74-500
Meriva,Opel, 12.12.2023, POLOGNE,1 455 €,DIESEL,217 000 KM,2005,MANUELLE,74-500
Accord,Honda, 12.12.2023, POLOGNE,2 194 €,ESSENCE,420 000 KM,2006,MANUELLE,74-500
Serie 5,Bmw, 14.12.2023, POLOGNE,9 679 €,DIESEL,320 000 KM,2012,AUTOMATIQUE,74-500
C5,Citroen, 14.12.2023, POLOGNE,1 987 €,ESSENCE,175 000 KM,2005,MANUELLE,74-500
A3,Audi, 15.12.2023, POLOGNE,5 509 €,ESSENCE,180 000 KM,2010,MANUELLE,74-500
Altea,Seat, 15.12.2023, POLOGNE,5 267 €,DIESEL,292 300 KM,2011,MANUELLE,74-500
Touran,Volkswagen, 15.12.2023, POLOGNE,2 772 €,DIESEL,275 000 KM,2005,MANUELLE,74-500
A6 avant,Audi, 16.12.2023, POLOGNE,13 536 €,DIESEL,185 000 KM,2014,MANUELLE,74-500
Avensis break,Toyota, 16.12.2023, POLOGNE,1 963 €,DIESEL,419 000 KM,2005,MANUELLE,74-500
Megane grandtour,Renault, 16.12.2023, POLOGNE,693 €,ESSENCE,278 000 KM,2000,MANUELLE,74-500
Ranger,Ford, 18.12.2023, POLOGNE,48 509 €,DIESEL,23 000 KM,2022,AUTOMATIQUE,74-500
A4,Audi, 18.12.2023, POLOGNE,1 039 €,DIESEL,496 000 KM,1997,MANUELLE,74-500
Passat,Volkswagen, 18.12.2023, POLOGNE,1 617 €,DIESEL,360 000 KM,2000,MANUELLE,74-500
Classe slk,Mercedes, 20.12.2023, POLOGNE,10 141 €,ESSENCE,220 938 KM,2009,AUTOMATIQUE,74-500
Serie 3,Bmw, 20.12.2023, POLOGNE,2 980 €,DIESEL,285 000 KM,2008,MANUELLE,74-500
Classe e,Mercedes, 22.12.2023, POLOGNE,8 316 €,DIESEL,303 000 KM,2010,MANUELLE,74-500
Astra gtc,Opel, 24.12.2023, POLOGNE,8 293 €,ESSENCE,48 954 KM,2012,MANUELLE,74-500
Classe c,Mercedes, 25.12.2023, POLOGNE,1 363 €,DIESEL,260 000 KM,1996,AUTOMATIQUE,74-500
Touran,Volkswagen, 26.12.2023, POLOGNE,15 453 €,ESSENCE,31 000 KM,2018,MANUELLE,74-500
Gle coupe 350,Mercedes, 29.12.2023, POLOGNE,38 807 €,DIESEL,148 000 KM,2015,AUTOMATIQUE,74-500
Megane,Renault, 29.12.2023, POLOGNE,3 396 €,DIESEL,169 000 KM,2010,MANUELLE,74-500
Serie 5 touring,Bmw, 29.12.2023, POLOGNE,4 135 €,DIESEL,320 000 KM,2005,AUTOMATIQUE,74-500
Serie 7,Bmw, 29.12.2023, POLOGNE,11 550 €,DIESEL,230 000 KM,2010,AUTOMATIQUE,74-500
A3 sportback,Audi, 29.12.2023, POLOGNE,2 287 €,DIESEL,253 818 KM,2004,MANUELLE,74-500
Superb,Skoda, 29.12.2023, POLOGNE,1 617 €,GPL,34 000 KM,2003,MANUELLE,74-500
Transit,Ford, 29.12.2023, POLOGNE,2 772 €,DIESEL,547 000 KM,1997,MANUELLE,74-500
A4,Audi, 29.12.2023, POLOGNE,3 442 €,DIESEL,450 000 KM,2007,MANUELLE,74-500
Fiesta,Ford, 29.12.2023, POLOGNE,1 617 €,ESSENCE,132 000 KM,2007,MANUELLE,74-500
Lupo,Volkswagen, 29.12.2023, POLOGNE,901 €,ESSENCE,177 000 KM,2002,MANUELLE,74-500
Doblo,Fiat, 29.12.2023, POLOGNE,2 241 €,ESSENCE,161 000 KM,2006,MANUELLE,74-500
Corsa,Opel, 30.12.2023, POLOGNE,346 €,ESSENCE,221 000 KM,2001,MANUELLE,74-500
Passat,Volkswagen, 30.12.2023, POLOGNE,15 407 €,DIESEL,217 461 KM,2018,AUTOMATIQUE,74-500
Mondeo sw,Ford, 31.12.2023, POLOGNE,12 451 €,DIESEL,219 000 KM,2015,MANUELLE,74-500
Lupo,Volkswagen, 03.01.2024, POLOGNE,624 €,ESSENCE,155 000 KM,2000,AUTOMATIQUE,74-500
Mokka,Opel, 03.01.2024, POLOGNE,8 963 €,DIESEL,198 000 KM,2013,MANUELLE,74-500
Master,Renault, 03.01.2024, POLOGNE,8 778 €,DIESEL,600 KM,2013,MANUELLE,74-500
Focus sw,Ford, 03.01.2024, POLOGNE,1 848 €,ESSENCE,134 779 KM,2003,AUTOMATIQUE,74-500
Megane grandtour,Renault, 21.01.2022, POLOGNE,2 495 €,-,168 145 KM,2006,-,74-505
Qashqai+2,Nissan, 14.11.2023, POLOGNE,7 392 €,DIESEL,188 500 KM,2009,MANUELLE,74-505
Passat,Volkswagen, 22.11.2023, POLOGNE,485 €,ESSENCE,473 643 KM,1993,MANUELLE,74-505
Passat,Volkswagen, 22.11.2023, POLOGNE,1 617 €,ESSENCE,284 200 KM,2001,MANUELLE,74-505
Justy,Subaru, 23.11.2023, POLOGNE,1 571 €,ESSENCE,129 000 KM,2007,MANUELLE,74-505
Golf plus,Volkswagen, 10.12.2023, POLOGNE,4 851 €,ESSENCE,207 842 KM,2009,MANUELLE,74-505
Cuore,Daihatsu, 13.12.2023, POLOGNE,1 432 €,ESSENCE,147 000 KM,2004,MANUELLE,74-505
Fiesta,Ford, 27.12.2023, POLOGNE,4 597 €,DIESEL,187 000 KM,2012,MANUELLE,74-505
Jimny,Suzuki, 28.12.2023, POLOGNE,7 138 €,ESSENCE,186 563 KM,2011,MANUELLE,74-505
Ignis,Suzuki, 31.12.2023, POLOGNE,1 039 €,ESSENCE,174 375 KM,2000,MANUELLE,74-505
A4,Audi, 05.12.2023, POLOGNE,5 890 €,ESSENCE,280 000 KM,2010,AUTOMATIQUE,72-022
Astra,Opel, 25.08.2023, POLOGNE,8 431 €,DIESEL,246 000 KM,2017,MANUELLE,72-002
E-up!,Volkswagen, 16.09.2023, POLOGNE,9 910 €,ELECTRIQUE,59 900 KM,2016,AUTOMATIQUE,72-002
Focus,Ford, 17.11.2023, POLOGNE,5 197 €,DIESEL,256 000 KM,2013,MANUELLE,72-002
Sharan,Volkswagen, 23.12.2023, POLOGNE,3 904 €,GPL,385 000 KM,2000,MANUELLE,72-002
A6,Audi, 03.01.2024, POLOGNE,17 094 €,ESSENCE,165 000 KM,2012,AUTOMATIQUE,72-002
Transit,Ford, 07.10.2023, POLOGNE,15 915 €,DIESEL,209 000 KM,2017,MANUELLE,72-001
Serie 5,Bmw, 14.11.2023, POLOGNE,22 868 €,DIESEL,175 000 KM,2017,AUTOMATIQUE,72-001
Focus sw,Ford, 14.11.2023, POLOGNE,3 211 €,ESSENCE,211 000 KM,2008,MANUELLE,72-001
V40,Volvo, 05.12.2023, POLOGNE,12 682 €,DIESEL,197 375 KM,2018,AUTOMATIQUE,72-001
Serie 4,Bmw, 06.12.2023, POLOGNE,31 415 €,ESSENCE,79 000 KM,2020,AUTOMATIQUE,72-001
Passat,Volkswagen, 10.12.2023, POLOGNE,13 144 €,DIESEL,192 000 KM,2016,AUTOMATIQUE,72-001
Jumper,Citroen, 11.12.2023, POLOGNE,15 684 €,DIESEL,172 000 KM,2017,MANUELLE,72-001
Serie 3 touring,Bmw, 15.12.2023, POLOGNE,13 629 €,DIESEL,290 000 KM,2013,AUTOMATIQUE,72-001
Serie 3,Bmw, 15.12.2023, POLOGNE,13 629 €,DIESEL,290 000 KM,2013,AUTOMATIQUE,72-001
Daily,Iveco, 03.01.2024, POLOGNE,17 532 €,DIESEL,450 000 KM,2015,MANUELLE,72-001
Movano,Opel, 03.01.2024, POLOGNE,17 532 €,DIESEL,178 000 KM,2019,MANUELLE,72-001
Classe a,Mercedes, 21.01.2022, POLOGNE,1 848 €,ESSENCE,245 041 KM,2004,MANUELLE,72-600
323,Mazda, 21.01.2022, POLOGNE,635 €,-,180 000 KM,1996,-,72-605
206,Peugeot, 21.01.2022, POLOGNE,1 848 €,-,118 128 KM,2004,-,72-605
Astra,Opel, 21.01.2022, POLOGNE,2 980 €,-,185 004 KM,2005,-,72-605
Passat,Volkswagen, 21.01.2022, POLOGNE,2 980 €,-,195 000 KM,2003,-,72-605
Touran,Volkswagen, 21.01.2022, POLOGNE,7 784 €,-,187 000 KM,2008,-,72-605
Mondeo,Ford, 21.01.2022, POLOGNE,2 010 €,-,222 000 KM,2002,-,72-605
Galaxy,Ford, 21.01.2022, POLOGNE,2 980 €,-,-,2001,-,72-605
Fiesta,Ford, 21.05.2022, POLOGNE,1 848 €,ESSENCE,211 288 KM,2005,MANUELLE,72-600
Combi,Volkswagen, 21.05.2022, POLOGNE,2 310 €,DIESEL,434 400 KM,2000,MANUELLE,72-600
Serie 3,Bmw, 21.06.2022, POLOGNE,3 465 €,ESSENCE,216 878 KM,2004,MANUELLE,72-600
Clio,Renault, 21.06.2022, POLOGNE,2 310 €,DIESEL,210 595 KM,2003,MANUELLE,72-600
Alhambra,Seat, 21.06.2022, POLOGNE,2 772 €,ESSENCE,230 842 KM,2005,MANUELLE,72-600
Micra,Nissan, 21.06.2022, POLOGNE,1 617 €,ESSENCE,156 299 KM,2003,MANUELLE,72-600
Classe gla,Mercedes, 24.05.2023, POLOGNE,30 722 €,ESSENCE,79 600 KM,2015,AUTOMATIQUE,72-605
Grandland x,Opel, 30.11.2023, FRANCE,12 990 €,-,95 000 KM,2017,AUTOMATIQUE,44430
Cr-v,Honda, 09.06.2023, POLOGNE,20 327 €,ESSENCE,112 000 KM,2018,MANUELLE,72-605
Cr-v,Honda, 09.06.2023, POLOGNE,29 336 €,ESSENCE,69 000 KM,2018,MANUELLE,72-605
Civic,Honda, 09.06.2023, POLOGNE,17 787 €,DIESEL,59 500 KM,2018,MANUELLE,72-605
Cr-v,Honda, 09.06.2023, POLOGNE,28 874 €,ESSENCE,63 000 KM,2018,AUTOMATIQUE,72-605
Hr-v,Honda, 09.06.2023, POLOGNE,23 099 €,ESSENCE,77 000 KM,2019,AUTOMATIQUE,72-605
Cr-v,Honda, 10.06.2023, POLOGNE,16 170 €,DIESEL,143 000 KM,2018,MANUELLE,72-605
500x,Fiat, 14.07.2023, POLOGNE,10 972 €,ESSENCE,87 000 KM,2016,MANUELLE,72-605
Durango,Dodge, 21.07.2023, POLOGNE,5 082 €,ESSENCE,136 000 KM,2002,AUTOMATIQUE,72-605
Touran,Volkswagen, 31.07.2023, POLOGNE,9 217 €,ESSENCE,195 000 KM,2013,MANUELLE,72-605
A4,Audi, 10.08.2023, POLOGNE,24 023 €,ESSENCE,121 000 KM,2017,AUTOMATIQUE,72-605
Kuga,Ford, 11.08.2023, POLOGNE,17 070 €,DIESEL,160 000 KM,2019,AUTOMATIQUE,72-605
Serie 3,Bmw, 24.08.2023, POLOGNE,4 273 €,ESSENCE,320 000 KM,2005,MANUELLE,72-605
Durango,Dodge, 24.08.2023, POLOGNE,6 907 €,ESSENCE,220 000 KM,2007,AUTOMATIQUE,72-605
Xc40,Volvo, 24.08.2023, POLOGNE,28 851 €,ESSENCE,53 000 KM,2021,AUTOMATIQUE,72-605
Discovery sport,Land rover, 24.08.2023, POLOGNE,26 102 €,DIESEL,92 000 KM,2017,AUTOMATIQUE,72-605
Ateca,Seat, 01.09.2023, POLOGNE,20 466 €,DIESEL,173 000 KM,2019,MANUELLE,72-605
Ceed,Kia, 04.09.2023, POLOGNE,19 750 €,ESSENCE,39 600 KM,2021,MANUELLE,72-605
Serie 5,Bmw, 05.09.2023, POLOGNE,5 521 €,DIESEL,282 722 KM,2007,MANUELLE,72-605
Corolla,Toyota, 08.09.2023, POLOGNE,23 696 €,HYBRIDE,36 000 KM,2021,AUTOMATIQUE,72-605
Q3,Audi, 09.09.2023, POLOGNE,34 626 €,ESSENCE,22 500 KM,2021,AUTOMATIQUE,72-605
Classe e,Mercedes, 12.09.2023, POLOGNE,25 063 €,ESSENCE,149 000 KM,2014,AUTOMATIQUE,72-605
Xc70,Volvo, 15.09.2023, POLOGNE,9 448 €,DIESEL,295 000 KM,2009,AUTOMATIQUE,72-605
Arkana,Renault, 17.09.2023, POLOGNE,27 696 €,HYBRIDE,5 100 KM,2022,AUTOMATIQUE,72-605
Sorento,Kia, 19.09.2023, POLOGNE,7 854 €,DIESEL,242 000 KM,2012,MANUELLE,72-605
Ds7,Citroen, 22.09.2023, POLOGNE,34 626 €,HYBRIDE,61 000 KM,2020,AUTOMATIQUE,72-605
Grandland x,Opel, 30.11.2023, FRANCE,12 990 €,-,95 000 KM,2017,AUTOMATIQUE,44430
A6,Audi, 26.09.2023, POLOGNE,17 094 €,DIESEL,283 000 KM,2014,AUTOMATIQUE,72-605
A6 avant,Audi, 06.10.2023, POLOGNE,10 372 €,ESSENCE,177 000 KM,2010,AUTOMATIQUE,72-605
Golf,Volkswagen, 07.10.2023, POLOGNE,2 749 €,ESSENCE,62 000 KM,1999,MANUELLE,72-605
Touran,Volkswagen, 10.10.2023, POLOGNE,4 389 €,ESSENCE,362 000 KM,2011,AUTOMATIQUE,72-605
Xc70,Volvo, 10.10.2023, POLOGNE,5 313 €,ESSENCE,299 000 KM,2005,AUTOMATIQUE,72-605
Partner,Peugeot, 13.10.2023, POLOGNE,2 541 €,DIESEL,230 000 KM,2007,MANUELLE,72-605
Cr-v,Honda, 13.10.2023, POLOGNE,29 336 €,HYBRIDE,103 000 KM,2020,AUTOMATIQUE,72-605
Yaris,Toyota, 14.10.2023, POLOGNE,14 761 €,ESSENCE,21 000 KM,2020,MANUELLE,72-605
Cr-v,Honda, 14.10.2023, POLOGNE,14 299 €,DIESEL,189 000 KM,2015,MANUELLE,72-605
Serie 4,Bmw, 17.10.2023, POLOGNE,24 254 €,ESSENCE,163 000 KM,2016,AUTOMATIQUE,72-605
Serie 6,Bmw, 18.10.2023, POLOGNE,26 564 €,ESSENCE,139 000 KM,2013,AUTOMATIQUE,72-605
A4 avant,Audi, 20.10.2023, POLOGNE,13 051 €,DIESEL,208 500 KM,2015,AUTOMATIQUE,72-605
Serie 1,Bmw, 20.10.2023, POLOGNE,13 857 €,DIESEL,60 000 KM,2018,AUTOMATIQUE,72-605
Serie 5 touring,Bmw, 20.10.2023, POLOGNE,8 316 €,DIESEL,354 700 KM,2008,AUTOMATIQUE,72-605
Galaxy,Ford, 22.10.2023, POLOGNE,3 465 €,ESSENCE,225 000 KM,2006,MANUELLE,72-605
A6,Audi, 23.10.2023, POLOGNE,4 597 €,DIESEL,236 000 KM,2005,MANUELLE,72-605
I30 wagon,Hyundai, 24.10.2023, POLOGNE,5 983 €,ESSENCE,199 000 KM,2013,MANUELLE,72-605
Classe a,Mercedes, 03.11.2023, POLOGNE,10 857 €,DIESEL,250 000 KM,2013,MANUELLE,72-605
Touareg,Volkswagen, 03.11.2023, POLOGNE,22 637 €,DIESEL,165 600 KM,2013,AUTOMATIQUE,72-605
Ateca,Seat, 03.11.2023, POLOGNE,19 380 €,DIESEL,175 000 KM,2019,MANUELLE,72-605
Classe e,Mercedes, 05.11.2023, POLOGNE,6 121 €,ESSENCE,291 000 KM,2002,AUTOMATIQUE,72-605
Caravelle,Volkswagen, 05.11.2023, POLOGNE,4 782 €,DIESEL,446 900 KM,2001,MANUELLE,72-605
Sandero,Dacia, 05.11.2023, POLOGNE,6 676 €,ESSENCE,24 099 KM,2017,MANUELLE,72-605
Xc60,Volvo, 06.11.2023, POLOGNE,32 570 €,DIESEL,174 000 KM,2017,AUTOMATIQUE,72-605
C4 cactus,Citroen, 06.11.2023, POLOGNE,12 243 €,ESSENCE,88 000 KM,2018,MANUELLE,72-605
A7 sportback,Audi, 10.11.2023, POLOGNE,64 447 €,ESSENCE,39 000 KM,2021,AUTOMATIQUE,72-605
A3,Audi, 12.11.2023, POLOGNE,1 039 €,ESSENCE,216 000 KM,2001,MANUELLE,72-605
Xsara picasso,Citroen, 14.11.2023, POLOGNE,832 €,DIESEL,260 000 KM,2004,MANUELLE,72-605
Yaris,Toyota, 14.11.2023, POLOGNE,7 392 €,ESSENCE,89 200 KM,2012,MANUELLE,72-605
Passat variant,Volkswagen, 14.11.2023, POLOGNE,19 634 €,DIESEL,229 000 KM,2015,AUTOMATIQUE,72-605
A6,Audi, 14.11.2023, POLOGNE,17 556 €,DIESEL,291 000 KM,2014,MANUELLE,72-605
A3,Audi, 14.11.2023, POLOGNE,5 059 €,ESSENCE,197 000 KM,2008,MANUELLE,72-605
A3,Audi, 14.11.2023, POLOGNE,3 696 €,DIESEL,240 000 KM,2007,MANUELLE,72-605
Juke,Nissan, 14.11.2023, POLOGNE,6 930 €,DIESEL,183 000 KM,2012,MANUELLE,72-605
Grand scenic,Renault, 14.11.2023, POLOGNE,693 €,DIESEL,245 000 KM,2005,MANUELLE,72-605
Captur,Renault, 14.11.2023, POLOGNE,13 167 €,ESSENCE,44 000 KM,2017,MANUELLE,72-605
Rexton,Ssangyong, 14.11.2023, POLOGNE,15 477 €,DIESEL,40 000 KM,2015,AUTOMATIQUE,72-605
Nv200,Nissan, 14.11.2023, POLOGNE,5 428 €,DIESEL,150 500 KM,2014,MANUELLE,72-605
Wrangler,Jeep, 18.11.2023, POLOGNE,46 176 €,ESSENCE,41 600 KM,2019,AUTOMATIQUE,72-605
Grand cherokee,Jeep, 18.11.2023, POLOGNE,10 372 €,ESSENCE,200 000 KM,2011,AUTOMATIQUE,72-605
Serie 3 touring,Bmw, 19.11.2023, POLOGNE,8 085 €,DIESEL,278 000 KM,2011,AUTOMATIQUE,72-605
Xc90,Volvo, 22.11.2023, POLOGNE,7 692 €,ESSENCE,275 500 KM,2008,AUTOMATIQUE,72-605
Zafira,Opel, 25.11.2023, POLOGNE,3 442 €,ESSENCE,172 967 KM,2007,MANUELLE,72-605
Spark,Chevrolet, 26.11.2023, POLOGNE,3 003 €,ESSENCE,157 167 KM,2010,MANUELLE,72-605
Classe c,Mercedes, 27.11.2023, POLOGNE,39 038 €,ESSENCE,30 000 KM,2020,AUTOMATIQUE,72-605
Macan,Porsche, 27.11.2023, POLOGNE,36 959 €,ESSENCE,85 000 KM,2017,AUTOMATIQUE,72-605
Macan,Porsche, 27.11.2023, POLOGNE,36 959 €,DIESEL,100 000 KM,2016,AUTOMATIQUE,72-605
Doblo,Fiat, 29.11.2023, POLOGNE,577 €,DIESEL,200 000 KM,2002,MANUELLE,72-605
Serie 3,Bmw, 02.12.2023, POLOGNE,40 308 €,ESSENCE,23 500 KM,2021,AUTOMATIQUE,72-605
Classe m,Mercedes, 04.12.2023, POLOGNE,11 527 €,DIESEL,208 000 KM,2011,AUTOMATIQUE,72-605
Qashqai+2,Nissan, 04.12.2023, POLOGNE,7 577 €,DIESEL,221 600 KM,2012,MANUELLE,72-605
Serie 3,Bmw, 05.12.2023, POLOGNE,3 881 €,ESSENCE,228 600 KM,1998,AUTOMATIQUE,72-605
Tiguan,Volkswagen, 05.12.2023, POLOGNE,11 457 €,DIESEL,187 000 KM,2014,MANUELLE,72-605
6,Mazda, 05.12.2023, POLOGNE,9 217 €,DIESEL,247 000 KM,2014,MANUELLE,72-605
F-pace,Jaguar, 05.12.2023, POLOGNE,27 719 €,DIESEL,68 000 KM,2017,AUTOMATIQUE,72-605
Serie 5,Bmw, 06.12.2023, POLOGNE,6 352 €,ESSENCE,105 000 KM,2006,AUTOMATIQUE,72-605
Yeti,Skoda, 06.12.2023, POLOGNE,6 884 €,DIESEL,334 000 KM,2013,AUTOMATIQUE,72-605
Sharan,Volkswagen, 06.12.2023, POLOGNE,15 938 €,DIESEL,201 000 KM,2015,MANUELLE,72-605
9-3,Saab, 07.12.2023, POLOGNE,4 042 €,ESSENCE,249 500 KM,2008,AUTOMATIQUE,72-605
Grand cherokee,Jeep, 07.12.2023, POLOGNE,7 392 €,DIESEL,281 000 KM,2008,AUTOMATIQUE,72-605
C4,Citroen, 07.12.2023, POLOGNE,1 732 €,ESSENCE,170 915 KM,2009,MANUELLE,72-605
Transit,Ford, 08.12.2023, POLOGNE,3 904 €,DIESEL,162 500 KM,2007,MANUELLE,72-605
Twingo,Renault, 09.12.2023, POLOGNE,2 077 €,ESSENCE,167 800 KM,2009,MANUELLE,72-605
Passat,Volkswagen, 09.12.2023, POLOGNE,2 980 €,DIESEL,378 346 KM,2008,AUTOMATIQUE,72-605
Xc60,Volvo, 09.12.2023, POLOGNE,25 287 €,DIESEL,166 000 KM,2018,AUTOMATIQUE,72-605
3,Mazda, 09.12.2023, POLOGNE,1 594 €,DIESEL,261 610 KM,2007,MANUELLE,72-605
C3 picasso,Citroen, 09.12.2023, POLOGNE,4 504 €,DIESEL,171 000 KM,2011,MANUELLE,72-605
Mondeo,Ford, 10.12.2023, POLOGNE,11 457 €,DIESEL,206 000 KM,2014,MANUELLE,72-605
Xc60,Volvo, 10.12.2023, POLOGNE,14 437 €,DIESEL,242 000 KM,2016,AUTOMATIQUE,72-605
Tiguan,Volkswagen, 10.12.2023, POLOGNE,6 630 €,ESSENCE,256 000 KM,2008,MANUELLE,72-605
Yaris,Toyota, 11.12.2023, POLOGNE,3 095 €,ESSENCE,132 000 KM,2009,MANUELLE,72-605
Laguna,Renault, 11.12.2023, POLOGNE,901 €,DIESEL,297 000 KM,2007,MANUELLE,72-605
A3,Audi, 12.12.2023, POLOGNE,5 035 €,DIESEL,242 000 KM,2007,MANUELLE,72-605
Classe a,Mercedes, 12.12.2023, POLOGNE,1 963 €,DIESEL,237 619 KM,2006,MANUELLE,72-605
Serie 1,Bmw, 12.12.2023, POLOGNE,3 396 €,ESSENCE,163 000 KM,2007,MANUELLE,72-605
Sharan,Volkswagen, 12.12.2023, POLOGNE,2 079 €,DIESEL,457 000 KM,2004,MANUELLE,72-605
Swift,Suzuki, 12.12.2023, POLOGNE,1 501 €,ESSENCE,167 000 KM,2005,MANUELLE,72-605
Accord,Honda, 12.12.2023, POLOGNE,4 620 €,ESSENCE,236 000 KM,2006,MANUELLE,72-605
Classe e,Mercedes, 12.12.2023, POLOGNE,12 474 €,DIESEL,260 000 KM,2009,AUTOMATIQUE,72-605
Classe a,Mercedes, 13.12.2023, POLOGNE,9 471 €,DIESEL,283 834 KM,2015,MANUELLE,72-605
Twingo,Renault, 13.12.2023, POLOGNE,1 732 €,DIESEL,166 000 KM,2007,MANUELLE,72-605
X-trail,Nissan, 13.12.2023, POLOGNE,1 594 €,DIESEL,250 000 KM,2005,MANUELLE,72-605
A3,Audi, 13.12.2023, POLOGNE,10 141 €,ESSENCE,132 600 KM,2013,MANUELLE,72-605
Classe c,Mercedes, 14.12.2023, POLOGNE,35 804 €,DIESEL,40 500 KM,2018,AUTOMATIQUE,72-605
A6,Audi, 14.12.2023, POLOGNE,2 610 €,DIESEL,293 000 KM,2003,AUTOMATIQUE,72-605
Classe glc,Mercedes, 14.12.2023, POLOGNE,32 108 €,DIESEL,96 568 KM,2018,AUTOMATIQUE,72-605
Mondeo sw,Ford, 14.12.2023, POLOGNE,4 458 €,DIESEL,211 000 KM,2009,MANUELLE,72-605
Classe gla,Mercedes, 14.12.2023, POLOGNE,19 634 €,ESSENCE,220 000 KM,2015,AUTOMATIQUE,72-605
Panda,Fiat, 14.12.2023, POLOGNE,9 586 €,ESSENCE,28 200 KM,2018,MANUELLE,72-605
Ducato,Fiat, 14.12.2023, POLOGNE,4 966 €,DIESEL,192 000 KM,2011,MANUELLE,72-605
