Titre,motclé,tag,tag1,date,upper,information,information7,information8,information9,tag12
"

                              3 025 €  ","GAZ
31029",GAZ,31029, 19/08/2022, RUSSIE,ESSENCE,26 100 KM,1996,MANUELLE,
"

                              39 320 €  ","AUDI
Q7
45 TDIV6 3.0QUATTRO",AUDI,Q7, 28/08/2022, RUSSIE,DIESEL,149 000 KM,2016,AUTOMATIQUE,45 TDI
"

                              14 115 €  ","AUDI
A4
2.0QUATTRO",AUDI,A4, 30/08/2022, RUSSIE,ESSENCE,190 000 KM,2011,MANUELLE,2.0
"

                              90 738 €  ","BENTLEY
CONTINENTAL GT
V8 4.0",BENTLEY,CONTINENTAL GT, 02/09/2022, RUSSIE,ESSENCE,43 504 KM,2017,AUTOMATIQUE,V8 4.0
"

                              5 041 €  ","GAZ
69",GAZ,69, 18/09/2022, RUSSIE,ESSENCE,1 000 KM,1972,MANUELLE,
"

                              13 006 €  ","GAZ
21",GAZ,21, 26/09/2022, RUSSIE,ESSENCE,8 500 KM,1964,MANUELLE,
"

                              49 402 €  ","ASTON MARTIN
VANTAGE
V8 4.3",ASTON MARTIN,VANTAGE, 01/10/2022, RUSSIE,ESSENCE,20 000 KM,2007,AUTOMATIQUE,V8 4.3
,"MOSKVICH
2141",MOSKVICH,2141, 03/10/2022, RUSSIE,ESSENCE,41 000 KM,1990,MANUELLE,
"

                              10 384 €  ","GAZ
69",GAZ,69, 04/10/2022, RUSSIE,ESSENCE,55 000 KM,1969,MANUELLE,
"

                              37 303 €  ","AUDI
Q3
35 TFSI1.5",AUDI,Q3, 22/10/2022, RUSSIE,ESSENCE,34 000 KM,2019,AUTOMATIQUE,35 TFSI
,"GAZ
21",GAZ,21, 30/10/2022, RUSSIE,ESSENCE,500 KM,1961,MANUELLE,
,"AUDI
Q3
2.0QUATTRO",AUDI,Q3, 31/10/2022, RUSSIE,ESSENCE,126 000 KM,2012,AUTOMATIQUE,2.0
,"AUDI
100
2.0",AUDI,100, 02/11/2022, RUSSIE,ESSENCE,310 000 KM,1991,MANUELLE,2.0
,"LEXUS
GS 450HV6 3.5",LEXUS,GS 450HV6 3.5, 14/11/2022, RUSSIE,HYBRIDE,360 000 KM,2008,AUTOMATIQUE,GS 450H
"

                              8 570 €  ","GAZ
21",GAZ,21, 23/11/2022, RUSSIE,ESSENCE,35 000 KM,1969,MANUELLE,
"

                              42 344 €  ","AUDI
Q7
45 TDIV6 3.0QUATTRO",AUDI,Q7, 29/11/2022, RUSSIE,DIESEL,99 000 KM,2015,AUTOMATIQUE,45 TDI
"

                              20 164 €  ","AUDI
A4
2.0",AUDI,A4, 29/11/2022, RUSSIE,ESSENCE,97 000 KM,2016,AUTOMATIQUE,2.0
"

                              19 650 €  ","AUDI
Q5
2.0QUATTRO",AUDI,Q5, 01/12/2022, RUSSIE,ESSENCE,89 000 KM,2016,AUTOMATIQUE,2.0
"

                              46 881 €  ","LEXUS
GX 460V8 4.6",LEXUS,GX 460V8 4.6, 01/12/2022, RUSSIE,ESSENCE,48 000 KM,2018,AUTOMATIQUE,GX 460
,"ZAZ
ZAZ 968",ZAZ,ZAZ 968, 09/12/2022, RUSSIE,ESSENCE,50 000 KM,1990,MANUELLE,
"

                              30 246 €  ","UAZ
PATRIOT
2.7",UAZ,PATRIOT, 10/12/2022, RUSSIE,ESSENCE,47 000 KM,2021,AUTOMATIQUE,2.7
,"AUDI
Q3
35 TDI2.0",AUDI,Q3, 14/12/2022, RUSSIE,DIESEL,98 000 KM,2019,AUTOMATIQUE,35 TDI
"

                              6 755 €  ","GAZ
GAZELLE",GAZ,GAZELLE, 15/12/2022, RUSSIE,ESSENCE,179 000 KM,2004,MANUELLE,
"

                              166 353 €  ","LEXUS
LX 570V8 5.7",LEXUS,LX 570V8 5.7, 21/12/2022, RUSSIE,ESSENCE,34 555 KM,2020,AUTOMATIQUE,LX 570
"

                              190 449 €  ","LEXUS
LX",LEXUS,LX, 23/12/2022, RUSSIE,DIESEL,10 KM,2022,AUTOMATIQUE,
"

                              4 436 €  ","GAZ
31029",GAZ,31029, 26/12/2022, RUSSIE,ESSENCE,40 000 KM,1996,MANUELLE,
"

                              8 570 €  ","GAZ
24",GAZ,24, 30/12/2022, RUSSIE,ESSENCE,106 000 KM,1977,MANUELLE,
,"PONTIAC
SUNFIRE
2.2",PONTIAC,SUNFIRE, 30/12/2022, RUSSIE,ESSENCE,190 000 KM,2004,AUTOMATIQUE,2.2
,"MASERATI
GHIBLI
3.0",MASERATI,GHIBLI, 30/12/2022, RUSSIE,DIESEL,21 919 KM,2017,AUTOMATIQUE,3.0
"

                              6 301 €  ","JEEP
CHEROKEE
2.5",JEEP,CHEROKEE, 30/12/2022, RUSSIE,ESSENCE,200 000 KM,1984,MANUELLE,2.5
"

                              20 164 €  ","JEEP
GRAND CHEROKEE
V8 5.7",JEEP,GRAND CHEROKEE, 30/12/2022, RUSSIE,ESSENCE,257 900 KM,2012,AUTOMATIQUE,V8 5.7
,"JEEP
GRAND CHEROKEE
V6 3.0",JEEP,GRAND CHEROKEE, 30/12/2022, RUSSIE,DIESEL,142 000 KM,2013,AUTOMATIQUE,V6 3.0
,"SAAB
9-5
2.3",SAAB,9-5, 30/12/2022, RUSSIE,ESSENCE,350 000 KM,2003,MANUELLE,2.3
"

                              4 033 €  ","DERWAYS
AURORA",DERWAYS,AURORA, 30/12/2022, RUSSIE,ESSENCE,230 000 KM,2008,MANUELLE,
,"JEEP
CHEROKEE
2.4",JEEP,CHEROKEE, 30/12/2022, RUSSIE,ESSENCE,128 000 KM,2018,AUTOMATIQUE,2.4
"

                              38 503 €  ","JEEP
WRANGLER
V6 3.6",JEEP,WRANGLER, 30/12/2022, RUSSIE,ESSENCE,52 000 KM,2011,AUTOMATIQUE,V6 3.6
,"GAC MOTOR
GS8
2.0",GAC MOTOR,GS8, 30/12/2022, RUSSIE,ESSENCE,17 500 KM,2021,AUTOMATIQUE,2.0
,"HUDSON
EIGHT",HUDSON,EIGHT, 30/12/2022, RUSSIE,ESSENCE,118 000 KM,1937,MANUELLE,
,"OMODA
C5
1.5",OMODA,C5, 30/12/2022, RUSSIE,ESSENCE,10 KM,2023,AUTOMATIQUE,1.5
,"OMODA
C5
1.5",OMODA,C5, 30/12/2022, RUSSIE,ESSENCE,10 KM,2023,AUTOMATIQUE,1.5
,"OMODA
C5
1.5",OMODA,C5, 30/12/2022, RUSSIE,ESSENCE,10 KM,2023,AUTOMATIQUE,1.5
,"OMODA
C5
1.5",OMODA,C5, 30/12/2022, RUSSIE,ESSENCE,10 KM,2023,AUTOMATIQUE,1.5
"

                              41 336 €  ","INFINITI
QX60
2.5",INFINITI,QX60, 02/01/2023, RUSSIE,-,52 000 KM,2017,AUTOMATIQUE,2.5
,"INFINITI
FX50V8 5.0",INFINITI,FX50V8 5.0, 02/01/2023, RUSSIE,ESSENCE,175 000 KM,2008,AUTOMATIQUE,FX50
"

                              41 336 €  ","HUMMER
H2
V8 6.2",HUMMER,H2, 02/01/2023, RUSSIE,ESSENCE,268 500 KM,2008,AUTOMATIQUE,V8 6.2
"

                              10 082 €  ","INFINITI
G35V6 3.5",INFINITI,G35V6 3.5, 02/01/2023, RUSSIE,ESSENCE,90 000 KM,2004,AUTOMATIQUE,G35
,"HUMMER
H2
V8 6.0",HUMMER,H2, 02/01/2023, RUSSIE,ESSENCE,240 000 KM,2004,AUTOMATIQUE,V8 6.0
,"LINCOLN
TOWN CAR
V8 4.6",LINCOLN,TOWN CAR, 02/01/2023, RUSSIE,ESSENCE,180 000 KM,1999,AUTOMATIQUE,V8 4.6
"

                              7 763 €  ","SMART
ROADSTER
0.7",SMART,ROADSTER, 02/01/2023, RUSSIE,ESSENCE,115 020 KM,2004,AUTOMATIQUE,0.7
,"LINCOLN
TOWN CAR
V8 4.6",LINCOLN,TOWN CAR, 02/01/2023, RUSSIE,ESSENCE,171 000 KM,2000,AUTOMATIQUE,V8 4.6
,"LINCOLN
TOWN CAR
V8 4.6",LINCOLN,TOWN CAR, 02/01/2023, RUSSIE,ESSENCE,272 000 KM,2001,AUTOMATIQUE,V8 4.6
,"RAVON
GENTRA
1.5",RAVON,GENTRA, 02/01/2023, RUSSIE,ESSENCE,187 028 KM,2015,MANUELLE,1.5
,"INFINITI
G35V6 3.5",INFINITI,G35V6 3.5, 02/01/2023, RUSSIE,ESSENCE,130 000 KM,2004,AUTOMATIQUE,G35
"

                              10 082 €  ","CHRYSLER
300C
V6 3.5",CHRYSLER,300C, 03/01/2023, RUSSIE,ESSENCE,95 962 KM,2010,AUTOMATIQUE,V6 3.5
"

                              3 529 €  ","PEUGEOT
607",PEUGEOT,607, 03/01/2023, RUSSIE,ESSENCE,280 000 KM,2001,AUTOMATIQUE,
"

                              46 982 €  ","TESLA
MODEL Y
GRANDE AUTONOMIEAWD",TESLA,MODEL Y, 03/01/2023, RUSSIE,ELECTRIQUE,29 100 KM,2020,AUTOMATIQUE,GRANDE AUTONOMIE
,"CHRYSLER
300C
V8 5.7",CHRYSLER,300C, 03/01/2023, RUSSIE,ESSENCE,163 000 KM,2005,AUTOMATIQUE,V8 5.7
,"CHRYSLER
300C
V6 3.5",CHRYSLER,300C, 03/01/2023, RUSSIE,ESSENCE,53 000 KM,2005,AUTOMATIQUE,V6 3.5
"

                              11 645 €  ","PEUGEOT
136",PEUGEOT,136, 03/01/2023, RUSSIE,DIESEL,100 000 KM,2012,AUTOMATIQUE,
,"PEUGEOT
308
1.6",PEUGEOT,308, 03/01/2023, RUSSIE,ESSENCE,114 000 KM,2009,AUTOMATIQUE,1.6
,"PEUGEOT
136",PEUGEOT,136, 03/01/2023, RUSSIE,DIESEL,183 000 KM,2012,AUTOMATIQUE,
"

                              12 098 €  ","PEUGEOT
4007
2.2",PEUGEOT,4007, 03/01/2023, RUSSIE,DIESEL,122 000 KM,2010,AUTOMATIQUE,2.2
,"PEUGEOT
308
1.6",PEUGEOT,308, 03/01/2023, RUSSIE,ESSENCE,151 000 KM,2012,AUTOMATIQUE,1.6
,"JAGUAR
F-PACE
P2502.0AWD",JAGUAR,F-PACE, 04/01/2023, RUSSIE,ESSENCE,10 KM,2021,AUTOMATIQUE,P250
,"HAVAL
JOLION
1.5",HAVAL,JOLION, 04/01/2023, RUSSIE,ESSENCE,10 KM,2022,AUTOMATIQUE,1.5
,"HAVAL
JOLION
1.5",HAVAL,JOLION, 04/01/2023, RUSSIE,ESSENCE,10 KM,2022,AUTOMATIQUE,1.5
"

                              7 551 €  ","DATSUN
ON-DO
1.6",DATSUN,ON-DO, 04/01/2023, RUSSIE,ESSENCE,55 203 KM,2019,AUTOMATIQUE,1.6
"

                              4 285 €  ","DATSUN
ON-DO
1.6",DATSUN,ON-DO, 04/01/2023, RUSSIE,ESSENCE,135 000 KM,2015,MANUELLE,1.6
"

                              31 204 €  ","JAGUAR
F-TYPE
V6 3.0RWD",JAGUAR,F-TYPE, 04/01/2023, RUSSIE,ESSENCE,31 250 KM,2014,AUTOMATIQUE,V6 3.0
,"JAGUAR
XKRV8 4.2RRWD",JAGUAR,XKRV8 4.2RRWD, 04/01/2023, RUSSIE,ESSENCE,108 888 KM,2008,AUTOMATIQUE,XKR
"

                              23 228 €  ","JAGUAR
XF
D1802.0",JAGUAR,XF, 04/01/2023, RUSSIE,DIESEL,71 000 KM,2018,AUTOMATIQUE,D180
,"JAGUAR
XF
2.0RWD",JAGUAR,XF, 04/01/2023, RUSSIE,ESSENCE,160 000 KM,2015,AUTOMATIQUE,2.0
"

                              97 543 €  ","GENESIS
GV80",GENESIS,GV80, 04/01/2023, RUSSIE,ESSENCE,10 KM,2022,AUTOMATIQUE,
"

                              97 392 €  ","GENESIS
GV80",GENESIS,GV80, 04/01/2023, RUSSIE,ESSENCE,10 KM,2022,AUTOMATIQUE,
,"JAGUAR
XJ
3.2RWD",JAGUAR,XJ, 04/01/2023, RUSSIE,ESSENCE,224 000 KM,1993,AUTOMATIQUE,3.2
"

                              94 368 €  ","GENESIS
GV80",GENESIS,GV80, 04/01/2023, RUSSIE,ESSENCE,10 KM,2022,AUTOMATIQUE,
,"FIAT
DUCATO
2.3",FIAT,DUCATO, 04/01/2023, RUSSIE,DIESEL,250 000 KM,2012,MANUELLE,2.3
"

                              7 803 €  ","FIAT
DUCATO
2.3",FIAT,DUCATO, 04/01/2023, RUSSIE,DIESEL,446 000 KM,2011,MANUELLE,2.3
,"FIAT
DUCATO
2.5",FIAT,DUCATO, 04/01/2023, RUSSIE,DIESEL,150 000 KM,1985,MANUELLE,2.5
"

                              26 818 €  ","GEELY
COOLRAY
1.5",GEELY,COOLRAY, 04/01/2023, RUSSIE,ESSENCE,10 KM,2023,AUTOMATIQUE,1.5
,"GEELY
COOLRAY
1.5",GEELY,COOLRAY, 04/01/2023, RUSSIE,ESSENCE,10 KM,2023,AUTOMATIQUE,1.5
,"GEELY
COOLRAY
1.5",GEELY,COOLRAY, 04/01/2023, RUSSIE,ESSENCE,10 KM,2023,AUTOMATIQUE,1.5
"

                              22 180 €  ","GEELY
COOLRAY
1.5",GEELY,COOLRAY, 04/01/2023, RUSSIE,ESSENCE,3 400 KM,2021,AUTOMATIQUE,1.5
"

                              207 941 €  ","CADILLAC
ESCALADE
V8 6.2",CADILLAC,ESCALADE, 04/01/2023, RUSSIE,ESSENCE,50 KM,2022,AUTOMATIQUE,V8 6.2
"

                              11 080 €  ","GREAT WALL MOTORS
WINGLE",GREAT WALL MOTORS,WINGLE, 04/01/2023, RUSSIE,ESSENCE,97 000 KM,2012,MANUELLE,
"

                              188 433 €  ","CADILLAC
ESCALADE
V8 6.2",CADILLAC,ESCALADE, 04/01/2023, RUSSIE,ESSENCE,50 KM,2022,AUTOMATIQUE,V8 6.2
"

                              48 898 €  ","CADILLAC
ESCALADE
V8 6.2",CADILLAC,ESCALADE, 04/01/2023, RUSSIE,ESSENCE,120 600 KM,2018,AUTOMATIQUE,V8 6.2
,"CADILLAC
ESCALADE
V8 6.2",CADILLAC,ESCALADE, 04/01/2023, RUSSIE,ESSENCE,84 590 KM,2019,AUTOMATIQUE,V8 6.2
"

                              44 865 €  ","LEXUS
ES 300H2.5",LEXUS,ES 300H2.5, 04/01/2023, RUSSIE,HYBRIDE,31 000 KM,2019,AUTOMATIQUE,ES 300H
,"DODGE
CHALLENGER
RTV8 5.7",DODGE,CHALLENGER, 04/01/2023, RUSSIE,ESSENCE,48 000 KM,2019,AUTOMATIQUE,RT
"

                              8 570 €  ","CITROEN
C4 PICASSO
1.6",CITROEN,C4 PICASSO, 04/01/2023, RUSSIE,ESSENCE,232 000 KM,2013,MANUELLE,1.6
,"SUZUKI
VITARA
1.4",SUZUKI,VITARA, 04/01/2023, RUSSIE,ESSENCE,46 000 KM,2021,AUTOMATIQUE,1.4
,"CITROEN
C4 PICASSO
1.6",CITROEN,C4 PICASSO, 04/01/2023, RUSSIE,ESSENCE,137 000 KM,2012,MANUELLE,1.6
,"SUZUKI
VITARA
1.6",SUZUKI,VITARA, 04/01/2023, RUSSIE,ESSENCE,10 KM,2022,AUTOMATIQUE,1.6
,"PORSCHE
CAYENNE
SV8 4.8",PORSCHE,CAYENNE, 04/01/2023, RUSSIE,ESSENCE,93 000 KM,2007,AUTOMATIQUE,S
"

                              5 434 €  ","CITROEN
C3 PICASSO
1.6",CITROEN,C3 PICASSO, 04/01/2023, RUSSIE,ESSENCE,128 000 KM,2011,MANUELLE,1.6
"

                              5 848 €  ","CITROEN
C3
1.4",CITROEN,C3, 04/01/2023, RUSSIE,ESSENCE,77 103 KM,2012,MANUELLE,1.4
,"PORSCHE
CAYENNE
GTSV8 4.8",PORSCHE,CAYENNE, 04/01/2023, RUSSIE,ESSENCE,187 000 KM,2013,AUTOMATIQUE,GTS
,"CITROEN
DS5
1.6",CITROEN,DS5, 04/01/2023, RUSSIE,ESSENCE,118 000 KM,2013,MANUELLE,1.6
"

                              78 640 €  ","PORSCHE
CAYENNE
V6 3.6",PORSCHE,CAYENNE, 04/01/2023, RUSSIE,ESSENCE,35 500 KM,2015,AUTOMATIQUE,V6 3.6
"

                              19 862 €  ","CITROEN
BERLINGO
1.6",CITROEN,BERLINGO, 04/01/2023, RUSSIE,DIESEL,48 700 KM,2018,MANUELLE,1.6
,"PORSCHE
911",PORSCHE,911, 04/01/2023, RUSSIE,ESSENCE,32 958 KM,1988,MANUELLE,
,"SUZUKI
SOLIO
1.2",SUZUKI,SOLIO, 04/01/2023, RUSSIE,ESSENCE,4 000 KM,2022,AUTOMATIQUE,1.2
"

                              9 880 €  ","SUZUKI
SOLIO
1.2",SUZUKI,SOLIO, 04/01/2023, RUSSIE,ESSENCE,113 000 KM,2018,AUTOMATIQUE,1.2
"

                              8 469 €  ","SUZUKI
GRAND VITARA
2.4",SUZUKI,GRAND VITARA, 04/01/2023, RUSSIE,ESSENCE,220 000 KM,2008,MANUELLE,2.4
,"SUZUKI
XBEE
1.0",SUZUKI,XBEE, 04/01/2023, RUSSIE,HYBRIDE,4 000 KM,2022,AUTOMATIQUE,1.0
"

                              6 543 €  ","SUZUKI
SX4
1.6",SUZUKI,SX4, 04/01/2023, RUSSIE,ESSENCE,277 230 KM,2008,AUTOMATIQUE,1.6
,"SUZUKI
ESCUDO
2.5",SUZUKI,ESCUDO, 04/01/2023, RUSSIE,ESSENCE,360 000 KM,1997,AUTOMATIQUE,2.5
"

                              12 088 €  ","SUZUKI
GRAND VITARA",SUZUKI,GRAND VITARA, 04/01/2023, RUSSIE,ESSENCE,211 746 KM,2002,AUTOMATIQUE,
,"PORSCHE
BOXSTER
2.7",PORSCHE,BOXSTER, 04/01/2023, RUSSIE,ESSENCE,29 442 KM,2007,AUTOMATIQUE,2.7
,"SUZUKI
SAMURAI
1.3",SUZUKI,SAMURAI, 04/01/2023, RUSSIE,ESSENCE,86 998 KM,1991,MANUELLE,1.3
"

                              36 899 €  ","CHERY
TIGGO
1.6",CHERY,TIGGO, 05/01/2023, RUSSIE,ESSENCE,10 KM,2022,AUTOMATIQUE,1.6
"

                              27 221 €  ","SSANGYONG
TURISMO
2.0",SSANGYONG,TURISMO, 05/01/2023, RUSSIE,DIESEL,88 328 KM,2018,AUTOMATIQUE,2.0
,"SSANGYONG
ISTANA",SSANGYONG,ISTANA, 05/01/2023, RUSSIE,DIESEL,327 000 KM,2001,MANUELLE,
"

                              42 253 €  ","CHERY
TIGGO
2.0",CHERY,TIGGO, 05/01/2023, RUSSIE,ESSENCE,10 KM,2023,AUTOMATIQUE,2.0
"

                              28 230 €  ","CHERY
TIGGO
1.5",CHERY,TIGGO, 05/01/2023, RUSSIE,ESSENCE,7 000 KM,2021,AUTOMATIQUE,1.5
"

                              39 228 €  ","CHERY
TIGGO
2.0",CHERY,TIGGO, 05/01/2023, RUSSIE,ESSENCE,10 KM,2023,AUTOMATIQUE,2.0
,"CHERY
A15
1.6",CHERY,A15, 05/01/2023, RUSSIE,ESSENCE,225 000 KM,2006,MANUELLE,1.6
"

                              1 512 €  ","CHERY
A5",CHERY,A5, 05/01/2023, RUSSIE,ESSENCE,15 000 KM,2010,MANUELLE,
"

                              22 775 €  ","CHERY
TIGGO
1.5",CHERY,TIGGO, 05/01/2023, RUSSIE,ESSENCE,10 KM,2023,AUTOMATIQUE,1.5
,"GEELY
COOLRAY
1.5",GEELY,COOLRAY, 05/01/2023, RUSSIE,ESSENCE,10 KM,2023,AUTOMATIQUE,1.5
"

                              34 279 €  ","VOLVO
XC60
T62.0AWD",VOLVO,XC60, 05/01/2023, RUSSIE,ESSENCE,103 000 KM,2018,AUTOMATIQUE,T6
"

                              7 965 €  ","VOLVO
S80
2.5",VOLVO,S80, 05/01/2023, RUSSIE,ESSENCE,344 000 KM,2007,AUTOMATIQUE,2.5
,"VOLVO
960
2.5",VOLVO,960, 05/01/2023, RUSSIE,ESSENCE,300 000 KM,1995,MANUELLE,2.5
,"VOLVO
240
2.3",VOLVO,240, 05/01/2023, RUSSIE,ESSENCE,248 000 KM,1983,MANUELLE,2.3
"

                              6 200 €  ","DAEWOO
GENTRA
1.5",DAEWOO,GENTRA, 06/01/2023, RUSSIE,ESSENCE,135 000 KM,2014,MANUELLE,1.5
,"DAEWOO
TICO
0.8",DAEWOO,TICO, 06/01/2023, RUSSIE,ESSENCE,54 000 KM,1997,MANUELLE,0.8
"

                              1 512 €  ","DAEWOO
NEXIA
1.5",DAEWOO,NEXIA, 06/01/2023, RUSSIE,ESSENCE,200 000 KM,2011,MANUELLE,1.5
,"LAND ROVER
DEFENDER
2.5",LAND ROVER,DEFENDER, 06/01/2023, RUSSIE,DIESEL,130 000 KM,2004,MANUELLE,2.5
,"LAND ROVER
RANGE ROVER SPORT
3.0AWD",LAND ROVER,RANGE ROVER SPORT, 06/01/2023, RUSSIE,DIESEL,207 000 KM,2012,AUTOMATIQUE,3.0
,"LAND ROVER
RANGE ROVER EVOQUE
2.0AWD",LAND ROVER,RANGE ROVER EVOQUE, 06/01/2023, RUSSIE,DIESEL,55 000 KM,2018,AUTOMATIQUE,2.0
"

                              16 635 €  ","LAND ROVER
DISCOVERY
V8 4.4HSEAWD",LAND ROVER,DISCOVERY, 06/01/2023, RUSSIE,ESSENCE,24 000 KM,2007,AUTOMATIQUE,V8 4.4
"

                              104 752 €  ","LAND ROVER
RANGE ROVER SPORT
V8 5.0AWD",LAND ROVER,RANGE ROVER SPORT, 06/01/2023, RUSSIE,ESSENCE,20 600 KM,2020,AUTOMATIQUE,V8 5.0
"

                              20 063 €  ","LAND ROVER
RANGE ROVER
TDV8V8 4.4AWD",LAND ROVER,RANGE ROVER, 06/01/2023, RUSSIE,DIESEL,414 500 KM,2012,AUTOMATIQUE,TDV8
"

                              21 475 €  ","LAND ROVER
RANGE ROVER EVOQUE
SD42.2AWD",LAND ROVER,RANGE ROVER EVOQUE, 06/01/2023, RUSSIE,DIESEL,113 641 KM,2013,AUTOMATIQUE,SD4
,"LAND ROVER
RANGE ROVER
TDV8V8 3.6AWD",LAND ROVER,RANGE ROVER, 06/01/2023, RUSSIE,DIESEL,294 000 KM,2008,AUTOMATIQUE,TDV8
,"LAND ROVER
DISCOVERY
3.0AWD",LAND ROVER,DISCOVERY, 06/01/2023, RUSSIE,DIESEL,238 000 KM,2011,AUTOMATIQUE,3.0
,"LAND ROVER
DISCOVERY
TD52.5AWD",LAND ROVER,DISCOVERY, 06/01/2023, RUSSIE,DIESEL,326 037 KM,1999,AUTOMATIQUE,TD5
"

                              11 594 €  ","LAND ROVER
RANGE ROVER SPORT
TDV8V8 3.6AWD",LAND ROVER,RANGE ROVER SPORT, 06/01/2023, RUSSIE,DIESEL,256 000 KM,2008,AUTOMATIQUE,TDV8
