"Car Name" "Car Details" "Car Price"
$716.23 Est. Mo."
"2020 NISSAN SENTRA SV - 3N1AB8CV0LY289754" "Asking price $20,995 price drop $21,995 $1,000 near Midlothian, VA 23113 miles driven 26,168 mi avg. miles 6,542 mi/yr condition Used body style Sedan engine 4 Cyl transmission Automatic drivetrain FWD exterior color Gray interior color Black stock # 289754 vin # 3N1AB8CV0LY289754 History Vehicle Report avg mileage 33 mpg fuel type Gasoline features Full Options List" "$ 21,995
$ 20,995

$376.31 Est. Mo."
"2022 JEEP GRAND CHEROKEE LAREDO E - 1C4RJFAG7NC175998" "Asking price $29,099 price drop $30,474 $1,375 near Culver City, CA 90230 miles driven 38,556 mi avg. miles 19,278 mi/yr condition Used body style SUV engine 6 Cyl transmission Automatic drivetrain 4WD exterior color White interior color Black stock # 175998 vin # 1C4RJFAG7NC175998 History Vehicle Report avg mileage 21 mpg fuel type Gasoline features Full Options List" "$ 30,474
$ 29,099

$521.57 Est. Mo."
"2020 JEEP CHEROKEE LIMITED EDITION - 1C4PJMDX4LD630496" "Asking price $23,995 near Rockford, MI 49341 miles driven 43,430 mi avg. miles 10,857 mi/yr condition Certified Pre-Owned body style SUV engine 6 Cyl transmission Automatic drivetrain 4WD exterior color Blue interior color Gray stock # 630496 vin # 1C4PJMDX4LD630496 History Vehicle Report fuel type Gasoline features Full Options List" "$ 23,995

$430.09 Est. Mo."
"2017 TOYOTA TUNDRA LIMITED EDITION - 5TFHY5F17HX668499" "Asking price $43,995 near Manchester, CT 06042 miles driven 40,742 mi avg. miles 5,820 mi/yr condition Used body style Pickup engine 8 Cyl transmission Automatic drivetrain 4WD exterior color Black stock # 668499 vin # 5TFHY5F17HX668499 History Vehicle Report avg mileage 15 mpg fuel type Gasoline features Full Options List" "$ 43,995

$788.57 Est. Mo."
"2005 CHEVROLET CORVETTE BASE - 1G1YY34U155114392" "Asking price $24,990 near Momence, IL 60954 miles driven 51,230 mi avg. miles 2,696 mi/yr condition Used body style Convertible engine 8 Cyl transmission Manual drivetrain RWD exterior color Silver interior color Black stock # 114392 vin # 1G1YY34U155114392 History Vehicle Report avg mileage 19 mpg fuel type Gasoline features Full Options List" "$ 24,990

$447.92 Est. Mo."
"2018 JEEP GRAND CHEROKEE LIMITED EDITION - 1C4RJFBG8JC338019" "Asking price $24,800 near Philadelphia, PA 19126 miles driven 90,988 mi avg. miles 15,164 mi/yr condition Used body style SUV engine 6 Cyl transmission Automatic drivetrain 4WD exterior color Gray interior color Black stock # 338019 vin # 1C4RJFBG8JC338019 History Vehicle Report avg mileage 21 mpg fuel type Gasoline features Full Options List" "$ 24,800

$444.52 Est. Mo."
"2012 RAM 1500 SLT - 1C6RD7GTXCS105701" "Asking price $12,988 near North Kingsville, OH 44068 miles driven 169,987 mi avg. miles 14,165 mi/yr condition Used body style Pickup engine 8 Cyl transmission Automatic drivetrain 4WD exterior color White stock # 105701 vin # 1C6RD7GTXCS105701 History Vehicle Report avg mileage 15 mpg fuel type Gasoline features Full Options List" "$ 12,988

$232.80 Est. Mo."
"2023 HYUNDAI ELANTRA LIMITED EDITION - KMHLP4AG3PU460649" "Asking price $25,470 near Raynham, MA 02767 miles driven 25,651 mi avg. miles 25,651 mi/yr condition Used body style Sedan engine 4 Cyl transmission Automatic drivetrain FWD exterior color Gray interior color Black stock # 460649 vin # KMHLP4AG3PU460649 History Vehicle Report avg mileage 34 mpg fuel type Gasoline features Full Options List" "$ 25,470

$456.52 Est. Mo."
"2020 HYUNDAI TUCSON VALUE EDITION - KM8J3CA44LU124814" "Asking price $18,241 near Fredericksburg, VA 22408 miles driven 68,930 mi avg. miles 17,232 mi/yr condition Certified Pre-Owned body style SUV engine 4 Cyl transmission Automatic drivetrain AWD exterior color Silver interior color Gray stock # 124814 vin # KM8J3CA44LU124814 History Vehicle Report avg mileage 23 mpg fuel type Gasoline features Full Options List" "$ 18,241

$326.95 Est. Mo."
"2019 NISSAN ROGUE SL - 5N1AT2MV3KC796205" "Asking price $23,810 near Groton, CT 06340 miles driven 48,066 mi avg. miles 9,613 mi/yr condition Used body style SUV engine 4 Cyl transmission Automatic drivetrain AWD exterior color Red interior color Black stock # 796205 vin # 5N1AT2MV3KC796205 History Vehicle Report avg mileage 27 mpg fuel type Gasoline features Full Options List" "$ 23,810

$426.77 Est. Mo."
"2016 SUBARU WRX STI - JF1VA2M6XG9800085" "Asking price $27,990 price drop $30,998 $3,008 near Omak, WA 98841 miles driven 85,431 mi avg. miles 10,678 mi/yr condition Used body style Sedan engine 4 Cyl transmission Manual drivetrain AWD exterior color Blue interior color Black stock # 800085 vin # JF1VA2M6XG9800085 History Vehicle Report avg mileage 19 mpg fuel type Gasoline features Full Options List" "$ 30,998
$ 27,990

$501.69 Est. Mo."
"2020 FORD ESCAPE S - 1FMCU0F60LUB67173" "Asking price $18,325 near San Antonio, TX 78212 miles driven 46,488 mi avg. miles 11,622 mi/yr condition Used body style SUV engine 3 Cyl transmission Automatic drivetrain FWD exterior color Blue interior color Black stock # B67173 vin # 1FMCU0F60LUB67173 History Vehicle Report avg mileage 30 mpg fuel type Gasoline features Full Options List" "$ 20,158
$ 18,325

$328.46 Est. Mo."
"2021 BMW X3 XDRIVE30I - 5UXTY5C07M9E20209" "Asking price $36,894 near Saint James, NY 11780 miles driven 23,981 mi avg. miles 7,993 mi/yr condition Certified Pre-Owned body style SUV engine 4 Cyl transmission Automatic drivetrain AWD exterior color White interior color Brown stock # E20209 vin # 5UXTY5C07M9E20209 History Vehicle Report avg mileage 25 mpg fuel type Gasoline features Full Options List" "$ 36,894

$661.29 Est. Mo."
"2001 GMC SIERRA 2500HD SLE - 1GTHK23U51F125470" "Asking price $5,500 near Lake Charles, LA 70607 miles driven 281,900 mi avg. miles 12,256 mi/yr condition Used body style Pickup engine 8 Cyl transmission Automatic drivetrain 4WD exterior color White interior color Gray stock # 125470 vin # 1GTHK23U51F125470 History Vehicle Report fuel type Gasoline features Full Options List" "$ 5,500

$98.58 Est. Mo."
"2022 ACURA MDX BASE A-SPEC - 5J8YE1H07NL017237" "Asking price $44,000 near Montclair, CA 91763 miles driven 24,930 mi avg. miles 12,465 mi/yr condition Certified Pre-Owned body style SUV engine 6 Cyl transmission Automatic drivetrain AWD exterior color Black interior color Red stock # 017237 vin # 5J8YE1H07NL017237 History Vehicle Report avg mileage 21 mpg fuel type Gasoline features Full Options List" "$ 48,400
$ 44,000

$788.66 Est. Mo."
"2021 TOYOTA RAV4 XLE - 2T3P1RFV1MW187219" "Asking price $26,995 near Cocoa, FL 32926 miles driven 60,232 mi avg. miles 20,077 mi/yr condition Certified Pre-Owned body style SUV engine 4 Cyl transmission Automatic drivetrain AWD exterior color Black interior color Gray stock # 187219 vin # 2T3P1RFV1MW187219 History Vehicle Report avg mileage 28 mpg fuel type Gasoline features Full Options List" "$ 26,995

$483.86 Est. Mo."
"2021 HYUNDAI ELANTRA N LINE - KMHLR4AF8MU181601" "Asking price $24,991 price drop $25,515 $524 near Central Point, OR 97502 miles driven 25,192 mi avg. miles 8,397 mi/yr condition Certified Pre-Owned body style Sedan engine 4 Cyl transmission Manual drivetrain FWD exterior color Red interior color Black stock # 181601 vin # KMHLR4AF8MU181601 History Vehicle Report avg mileage 28 mpg fuel type Gasoline features Full Options List" "$ 25,515
$ 24,991

$447.94 Est. Mo."
"2022 RAM 3500 LIMITED - 3C63RRPL2NG308501" "Asking price $83,800 near Sulphur, LA 70663 miles driven 37,000 mi avg. miles 18,500 mi/yr condition Used body style Pickup engine 6 Cyl transmission Automatic drivetrain 4WD exterior color Red interior color Black stock # 308501 vin # 3C63RRPL2NG308501 History Vehicle Report fuel type Diesel features Full Options List" "$ 83,800

$1502.03 Est. Mo."
"2021 CHEVROLET TAHOE RST - 1GNSKRKD2MR260061" "Asking price $58,500 near Mountain Home, AR 72653 miles driven 37,049 mi avg. miles 12,349 mi/yr condition Used body style SUV engine 8 Cyl transmission Automatic drivetrain 4WD exterior color Blue interior color Black stock # 260061 vin # 1GNSKRKD2MR260061 History Vehicle Report fuel type Gasoline features Full Options List" "$ 64,350
$ 58,500

$1048.55 Est. Mo."
"2021 TOYOTA VENZA XLE - JTEAAAAH2MJ006762" "Asking price $34,191 near Montgomery, AL 36117 miles driven 30,915 mi avg. miles 10,305 mi/yr condition Used body style SUV engine 4 Cyl transmission Automatic drivetrain AWD exterior color Red interior color Black stock # 006762 vin # JTEAAAAH2MJ006762 History Vehicle Report avg mileage 39 mpg fuel type Hybrid features Full Options List" "$ 34,191

$612.84 Est. Mo."
"2010 INFINITI G37 JOURNEY - JN1CV6APXAM405356" "Asking price $13,999 near Irvine, CA 92614 miles driven 72,100 mi avg. miles 5,150 mi/yr condition Used body style Sedan engine 6 Cyl transmission Manual drivetrain RWD exterior color Gray interior color Tan stock # 405356 vin # JN1CV6APXAM405356 History Vehicle Report avg mileage 20 mpg fuel type Gasoline features Full Options List" "$ 13,999

$250.92 Est. Mo."
"2020 KIA OPTIMA LX - 5XXGT4L32LG392064" "Asking price $20,947 near Stockton, CA 95212 miles driven 45,273 mi avg. miles 11,318 mi/yr condition Used body style Sedan engine 4 Cyl transmission Automatic drivetrain FWD exterior color Silver interior color Black stock # 392064 vin # 5XXGT4L32LG392064 History Vehicle Report avg mileage 29 mpg fuel type Gasoline features Full Options List" "$ 20,947

$375.45 Est. Mo."
"2022 GMC TERRAIN SLT - 3GKALVEV6NL159410" "Asking price $24,114 near Platteville, WI 53818 miles driven 51,514 mi avg. miles 25,757 mi/yr condition Certified Pre-Owned body style SUV engine 4 Cyl transmission Automatic drivetrain AWD exterior color Silver interior color Gray stock # 159410 vin # 3GKALVEV6NL159410 History Vehicle Report avg mileage 26 mpg fuel type Gasoline features Full Options List" "$ 24,114

$432.22 Est. Mo."
"2023 NISSAN ROGUE SV - JN8BT3BB9PW215260" "Asking price $38,060 near Salem, NH 03079 miles driven 3 mi avg. miles 3 mi/yr condition Certified Pre-Owned body style SUV engine 3 Cyl transmission Automatic drivetrain AWD exterior color Gray interior color Black stock # 215260 vin # JN8BT3BB9PW215260 History Vehicle Report avg mileage 31 mpg fuel type Gasoline features Full Options List" "$ 38,060

$682.19 Est. Mo."
"2020 BMW 3 SERIES 330I XDRIVE - 3MW5R7J03L8B31840" "Asking price $32,172 near Saint James, NY 11780 miles driven 22,515 mi avg. miles 5,628 mi/yr condition Used body style Sedan engine 4 Cyl transmission Automatic drivetrain AWD exterior color White interior color Black stock # B31840 vin # 3MW5R7J03L8B31840 History Vehicle Report avg mileage 28 mpg fuel type Gasoline features Full Options List" "$ 32,172

$576.65 Est. Mo."
"2023 TOYOTA 4RUNNER SR5 - JTEMU5JR2P6143664" "Asking price $42,889 near Macomb, IL 61455 miles driven 2,431 mi avg. miles 2,431 mi/yr condition Used body style SUV engine 6 Cyl transmission Automatic drivetrain 4WD exterior color Silver stock # 143664 vin # JTEMU5JR2P6143664 History Vehicle Report avg mileage 17 mpg fuel type Gasoline features Full Options List" "$ 42,889

$768.74 Est. Mo."
"2021 VOLKSWAGEN TIGUAN SE - 3VV2B7AX2MM022075" "Asking price $23,954 near Burlington, NJ 08016 miles driven 53,822 mi avg. miles 17,940 mi/yr condition Certified Pre-Owned body style SUV engine 4 Cyl transmission Automatic drivetrain AWD exterior color Gray stock # 022075 vin # 3VV2B7AX2MM022075 History Vehicle Report avg mileage 24 mpg fuel type Gasoline features Full Options List" "$ 23,954

$429.35 Est. Mo."
"2021 VOLKSWAGEN ATLAS SEL - 1V2BR2CA5MC531115" "Asking price $34,500 near Huntington Station, NY 11746 miles driven 24,359 mi avg. miles 8,119 mi/yr condition Certified Pre-Owned body style SUV engine 6 Cyl transmission Automatic drivetrain AWD exterior color Gray interior color Black stock # 531115 vin # 1V2BR2CA5MC531115 History Vehicle Report avg mileage 18 mpg fuel type Gasoline features Full Options List" "$ 34,500

$618.38 Est. Mo."
"2013 TOYOTA RAV4 LIMITED EDITION - JTMYFREV8DD013281" "Asking price $16,495 near North Olmsted, OH 44070 miles driven 82,805 mi avg. miles 7,527 mi/yr condition Used body style SUV engine 4 Cyl transmission Automatic drivetrain FWD exterior color White interior color Gray stock # 013281 vin # JTMYFREV8DD013281 History Vehicle Report avg mileage 26 mpg fuel type Gasoline features Full Options List" "$ 16,495

$295.66 Est. Mo."
"2020 CHEVROLET TRAX LT - KL7CJLSB8LB319789" "Asking price $16,974 near Columbus, WI 53925 miles driven 34,143 mi avg. miles 8,535 mi/yr condition Certified Pre-Owned body style SUV engine 4 Cyl transmission Automatic drivetrain FWD exterior color White interior color Black stock # 319789 vin # KL7CJLSB8LB319789 History Vehicle Report avg mileage 28 mpg fuel type Gasoline features Full Options List" "$ 18,671
$ 16,974

$304.24 Est. Mo."
"2020 CHEVROLET TRAVERSE LS LS1 - 1GNEVFKW9LJ291454" "Asking price $27,787 near Milwaukee, WI 53221 miles driven 44,061 mi avg. miles 11,015 mi/yr condition Used body style SUV engine 6 Cyl transmission Automatic drivetrain AWD exterior color White interior color Black stock # 291454 vin # 1GNEVFKW9LJ291454 History Vehicle Report avg mileage 20 mpg fuel type Gasoline features Full Options List" "$ 27,787

$498.05 Est. Mo."
"2022 NISSAN FRONTIER PRO-4X - 1N6ED1EKXNN609873" "Asking price $38,739 near Bowie, MD 20716 miles driven 18,697 mi avg. miles 9,348 mi/yr condition Used body style Pickup engine 6 Cyl transmission Automatic drivetrain 4WD exterior color Black interior color Gray stock # 609873 vin # 1N6ED1EKXNN609873 History Vehicle Report avg mileage 19 mpg fuel type Gasoline features Full Options List" "$ 38,739

$694.36 Est. Mo."
"2016 CHEVROLET SPARK LT LT1 - KL8CD6SA4GC583460" "Asking price $12,995 near Springfield, TN 37172 miles driven 70,198 mi avg. miles 8,774 mi/yr condition Used body style Hatchback engine 4 Cyl transmission Automatic drivetrain FWD exterior color Blue stock # 583460 vin # KL8CD6SA4GC583460 History Vehicle Report avg mileage 34 mpg fuel type Gasoline features Full Options List" "$ 12,995

$232.92 Est. Mo."
"2015 HYUNDAI SONATA SE - 5NPE24AF7FH235971" "Asking price $13,995 near Plaistow, NH 03865 miles driven 83,494 mi avg. miles 9,277 mi/yr condition Used body style Sedan engine 4 Cyl transmission Automatic drivetrain FWD exterior color Brown interior color Tan stock # 235971 vin # 5NPE24AF7FH235971 History Vehicle Report avg mileage 28 mpg fuel type Gasoline features Full Options List" "$ 13,995

$250.85 Est. Mo."
"2021 TOYOTA RAV4 XLE - 2T3W1RFVXMC126755" "Asking price $28,619 near San Diego, CA 92120 miles driven 23,979 mi avg. miles 7,993 mi/yr condition Used body style SUV engine 4 Cyl transmission Automatic drivetrain FWD stock # 126755 vin # 2T3W1RFVXMC126755 History Vehicle Report fuel type Gasoline features Full Options List" "$ 28,619

$512.97 Est. Mo."
"2017 NISSAN ROGUE S - KNMAT2MV5HP539147" "Asking price $14,995 near Holbrook, MA 02343 miles driven 96,736 mi avg. miles 13,819 mi/yr condition Used body style SUV engine 4 Cyl transmission Automatic drivetrain AWD exterior color Gray interior color Gray stock # 539147 vin # KNMAT2MV5HP539147 History Vehicle Report avg mileage 27 mpg fuel type Gasoline features Full Options List" "$ 14,995

$268.77 Est. Mo."
"2004 FORD F-150 LARIAT - 1FTPW14554KD61114" "Asking price $8,399 near Marshall, MN 56258 miles driven 187,464 mi avg. miles 9,373 mi/yr condition Used body style Pickup engine 8 Cyl transmission Automatic drivetrain 4WD exterior color White interior color Tan stock # D61114 vin # 1FTPW14554KD61114 History Vehicle Report fuel type Gasoline features Full Options List" "$ 8,399

$150.54 Est. Mo."
"2022 BUICK ENCORE PREFERRED - KL4CJESM4NB502149" "Asking price $25,500 price drop $26,500 $1,000 near Hortonville, WI 54944 miles driven 11,063 mi avg. miles 5,531 mi/yr condition Used body style SUV engine 4 Cyl transmission Automatic drivetrain AWD exterior color White interior color Black stock # 502149 vin # KL4CJESM4NB502149 History Vehicle Report avg mileage 26 mpg fuel type Gasoline features Full Options List" "$ 26,500
$ 25,500

$457.06 Est. Mo."
"2021 RAM 1500 LARAMIE - 1C6SRFJTXMN576396" "Asking price $43,000 near Abrams, WI 54101 miles driven 43,577 mi avg. miles 14,525 mi/yr condition Used body style Pickup engine 8 Cyl transmission Automatic drivetrain 4WD exterior color White interior color Black stock # 576396 vin # 1C6SRFJTXMN576396 History Vehicle Report avg mileage 17 mpg fuel type Gasoline features Full Options List" "$ 43,000

$770.73 Est. Mo."
"2020 NISSAN MURANO SL - 5N1AZ2CJ2LN172902" "Asking price $25,390 near Franklin, VA 23851 miles driven 26,399 mi avg. miles 6,599 mi/yr condition Used body style SUV engine 6 Cyl transmission Automatic drivetrain FWD exterior color Silver interior color Gray stock # 172902 vin # 5N1AZ2CJ2LN172902 History Vehicle Report avg mileage 23 mpg fuel type Gasoline features Full Options List" "$ 25,390

$455.09 Est. Mo."
"2019 FORD EXPEDITION MAX XLT - 1FMJK1JT6KEA83125" "Asking price $37,000 near Mcalester, OK 74501 miles driven 70,124 mi avg. miles 14,024 mi/yr condition Used body style SUV engine 6 Cyl transmission Automatic drivetrain 4WD exterior color Blue interior color Gray stock # A83125 vin # 1FMJK1JT6KEA83125 History Vehicle Report avg mileage 18 mpg fuel type Gasoline features Full Options List" "$ 40,700
$ 37,000

$663.19 Est. Mo."
"2014 FORD F-150 XL - 1FTMF1CM9EKE10215" "Asking price $8,000 near Kissimmee, FL 34744 miles driven 135,020 mi avg. miles 13,502 mi/yr condition Used body style Pickup engine 6 Cyl transmission Automatic drivetrain RWD exterior color White interior color Gray stock # E10215 vin # 1FTMF1CM9EKE10215 History Vehicle Report avg mileage 19 mpg fuel type Flexible-Fuel features Full Options List" "$ 8,000

$143.39 Est. Mo."
"2009 HYUNDAI ELANTRA GLS - KMHDU46D69U639010" "Asking price $6,891 near Bountiful, UT 84010 miles driven 86,537 mi avg. miles 5,769 mi/yr condition Used body style Sedan engine 4 Cyl transmission Automatic drivetrain FWD exterior color Beige interior color Tan stock # 639010 vin # KMHDU46D69U639010 History Vehicle Report avg mileage 28 mpg fuel type Gasoline features Full Options List" "$ 6,891

$123.51 Est. Mo."
"2017 FORD EXPLORER XLT - 1FM5K7D86HGB69849" "Asking price $17,990 near Corinth, MS 38834 miles driven 105,871 mi avg. miles 15,124 mi/yr condition Used body style SUV engine 6 Cyl transmission Automatic drivetrain FWD exterior color Black interior color Gray stock # B69849 vin # 1FM5K7D86HGB69849 History Vehicle Report avg mileage 20 mpg fuel type Gasoline features Full Options List" "$ 17,990

$322.45 Est. Mo."
"2020 CHEVROLET BOLT EV LT - 1G1FY6S04L4139783" "Asking price $16,995 near Novato, CA 94945 miles driven 33,324 mi avg. miles 8,331 mi/yr condition Used body style Hatchback engine Electric transmission Automatic drivetrain FWD exterior color Gray interior color Gray stock # 139783 vin # 1G1FY6S04L4139783 History Vehicle Report avg mileage 118 mpg fuel type Electric features Full Options List" "$ 16,995

$304.62 Est. Mo."
"2009 JEEP WRANGLER UNLIMITED X - 1J4GA39169L783727" "Asking price $10,900 price drop $16,400 $5,500 near Frederick, MD 21704 miles driven 178,464 mi avg. miles 11,897 mi/yr condition Used body style SUV engine 6 Cyl transmission Manual drivetrain 4WD exterior color Red interior color Tan stock # 783727 vin # 1J4GA39169L783727 History Vehicle Report avg mileage 16 mpg fuel type Gasoline features Full Options List" "$ 16,400
$ 10,900

$195.37 Est. Mo."
"2021 RAM 1500 CLASSIC SLT - 1C6RR7LG5MS543604" "Asking price $32,495 near Galesburg, IL 61401 miles driven 61,619 mi avg. miles 20,539 mi/yr condition Used body style Pickup engine 6 Cyl transmission Automatic drivetrain 4WD exterior color Red stock # 543604 vin # 1C6RR7LG5MS543604 History Vehicle Report avg mileage 19 mpg fuel type Flexible-Fuel features Full Options List" "$ 32,495

$582.44 Est. Mo."
"2020 INFINITI QX60 LUXE - 5N1DL0MM4LC531139" "Asking price $28,489 price drop $32,367 $3,878 near East Providence, RI 02914 miles driven 48,538 mi avg. miles 12,134 mi/yr condition Used body style SUV engine 6 Cyl transmission Automatic drivetrain AWD exterior color White interior color Black stock # 531139 vin # 5N1DL0MM4LC531139 History Vehicle Report avg mileage 22 mpg fuel type Gasoline features Full Options List" "$ 32,367
$ 28,489

$510.64 Est. Mo."
"2018 VOLKSWAGEN PASSAT SE - 1VWBA7A35JC009491" "Asking price $19,995 near Lancaster, OH 43130 miles driven 71,451 mi avg. miles 11,908 mi/yr condition Used body style Sedan engine 4 Cyl transmission Automatic drivetrain FWD exterior color Black stock # 009491 vin # 1VWBA7A35JC009491 History Vehicle Report avg mileage 29 mpg fuel type Gasoline features Full Options List" "$ 19,995

$358.39 Est. Mo."
"2021 RAM 2500 POWER WAGON - 3C6TR5EJ6MG550930" "Asking price $59,987 near Ellington, CT 06029 miles driven 15,487 mi avg. miles 5,162 mi/yr condition Certified Pre-Owned body style Pickup engine 8 Cyl transmission Automatic drivetrain 4WD exterior color Black interior color Black stock # 550930 vin # 3C6TR5EJ6MG550930 History Vehicle Report fuel type Gasoline features Full Options List" "$ 59,987

$1075.21 Est. Mo."
"2013 BMW X6 XDRIVE35I - 5UXFG2C57DL783975" "Asking price $13,000 price drop $22,995 $9,995 near Hollywood, FL 33023 miles driven 122,349 mi avg. miles 11,122 mi/yr condition Used body style SUV engine 6 Cyl transmission Automatic drivetrain AWD stock # 783975 vin # 5UXFG2C57DL783975 History Vehicle Report avg mileage 19 mpg fuel type Gasoline features Full Options List" "$ 22,995
$ 13,000

$233.01 Est. Mo."
"2023 HYUNDAI SONATA SEL - KMHL64JA7PA254699" "Asking price $25,793 price drop $28,935 $3,142 near Quincy, FL 32351 miles driven 17,073 mi avg. miles 17,073 mi/yr condition Used body style Sedan engine 4 Cyl transmission Automatic drivetrain FWD exterior color Black interior color Black stock # 254699 vin # KMHL64JA7PA254699 History Vehicle Report avg mileage 31 mpg fuel type Gasoline features Full Options List" "$ 28,935
$ 25,793

$462.31 Est. Mo."
"2020 GMC ACADIA SLE - 1GKKNKLA8LZ231369" "Asking price $25,375 price drop $25,895 $520 near Clinton Township, MI 48036 miles driven 27,385 mi avg. miles 6,846 mi/yr condition Certified Pre-Owned body style SUV engine 4 Cyl transmission Automatic drivetrain FWD exterior color White interior color Black stock # 231369 vin # 1GKKNKLA8LZ231369 History Vehicle Report avg mileage 23 mpg fuel type Gasoline features Full Options List" "$ 25,895
$ 25,375

$454.82 Est. Mo."
"2021 KIA SPORTAGE EX - KNDPNCAC3M7857596" "Asking price $25,056 near Manassas, VA 20110 miles driven 16,769 mi avg. miles 5,589 mi/yr condition Used body style SUV engine 4 Cyl transmission Automatic drivetrain AWD exterior color Silver interior color Black stock # 857596 vin # KNDPNCAC3M7857596 History Vehicle Report avg mileage 23 mpg fuel type Gasoline features Full Options List" "$ 27,562
$ 25,056

$449.10 Est. Mo."
"2021 CHRYSLER 300 S - 2C3CCABG1MH532951" "Asking price $25,400 near Ardmore, OK 73401 miles driven 64,182 mi avg. miles 21,394 mi/yr condition Used body style Sedan engine 6 Cyl transmission Automatic drivetrain RWD exterior color Silver interior color Black stock # 532951 vin # 2C3CCABG1MH532951 History Vehicle Report avg mileage 23 mpg fuel type Gasoline features Full Options List" "$ 25,400

$455.27 Est. Mo."
"2012 HYUNDAI TUCSON LIMITED EDITION - KM8JUCAC6CU542182" "Asking price $10,790 near Connellsville, PA 15425 miles driven 95,557 mi avg. miles 7,963 mi/yr condition Used body style SUV engine 4 Cyl transmission Automatic drivetrain AWD exterior color Beige interior color Brown stock # 542182 vin # KM8JUCAC6CU542182 History Vehicle Report avg mileage 23 mpg fuel type Gasoline features Full Options List" "$ 10,790

$193.40 Est. Mo."
"2020 FORD F-150 LARIAT - 1FTEW1EP7LKE51628" "Asking price $37,674 near Savannah, TN 38372 miles driven 59,744 mi avg. miles 14,936 mi/yr condition Used body style Pickup engine 6 Cyl transmission Automatic drivetrain 4WD exterior color Black interior color Black stock # E51628 vin # 1FTEW1EP7LKE51628 History Vehicle Report avg mileage 20 mpg fuel type Gasoline features Full Options List" "$ 37,674

$675.27 Est. Mo."
"2021 FORD BRONCO SPORT BIG BEND - 3FMCR9B62MRA10104" "Asking price $28,786 near Milwaukee, WI 53221 miles driven 25,742 mi avg. miles 8,580 mi/yr condition Used body style SUV engine 3 Cyl transmission Automatic drivetrain 4WD exterior color Silver interior color Black stock # A10104 vin # 3FMCR9B62MRA10104 History Vehicle Report avg mileage 26 mpg fuel type Gasoline features Full Options List" "$ 28,786

$515.96 Est. Mo."
"2015 CHEVROLET CAMARO LT 1LT - 2G1FD3D3XF9114602" "Asking price $19,900 near Philadelphia, PA 19126 miles driven 75,375 mi avg. miles 8,375 mi/yr condition Used body style Convertible engine 6 Cyl transmission Automatic drivetrain RWD exterior color Silver interior color Black stock # 114602 vin # 2G1FD3D3XF9114602 History Vehicle Report fuel type Gasoline features Full Options List" "$ 19,900

$356.69 Est. Mo."
