Modele,Marque,Date,Location,Prix,Carburant,Kilométrage,Année,Boîte de vitesse,Departements
Safari,Tata, 21.01.2022, INDE,3 894 €,DIESEL,90 000 KM,2011,MANUELLE,-
City,Honda, 21.01.2022, INDE,5 006 €,ESSENCE,80 000 KM,2010,MANUELLE,-
Safari,Tata, 21.01.2022, INDE,6 130 €,DIESEL,56 000 KM,2011,MANUELLE,-
Bolero,Mahindra, 21.01.2022, INDE,5 841 €,DIESEL,15 000 KM,2014,MANUELLE,-
Indigo,Tata, 21.01.2022, INDE,1 869 €,DIESEL,48 624 KM,2007,MANUELLE,-
S60,Volvo, 21.01.2022, INDE,24 809 €,DIESEL,27 000 KM,2012,AUTOMATIQUE,-
Nano,Tata, 21.01.2022, INDE,612 €,ESSENCE,45 000 KM,2011,MANUELLE,-
Indica,Tata, 21.01.2022, INDE,1 057 €,DIESEL,83 000 KM,2006,MANUELLE,-
Scorpio,Mahindra, 21.01.2022, INDE,11 014 €,DIESEL,24 000 KM,2014,MANUELLE,-
Classe e,Mercedes, 21.01.2022, INDE,4 116 €,DIESEL,161 000 KM,2003,-,-
Laura,Skoda, 21.01.2022, INDE,5 006 €,DIESEL,75 000 KM,2009,MANUELLE,-
City,Honda, 21.01.2022, INDE,6 786 €,ESSENCE,54 000 KM,2012,AUTOMATIQUE,-
Laura,Skoda, 21.01.2022, INDE,3 560 €,DIESEL,65 383 KM,2006,-,-
Manza,Tata, 21.01.2022, INDE,2 392 €,DIESEL,104 642 KM,2011,MANUELLE,-
Linea,Fiat, 21.01.2022, INDE,3 616 €,DIESEL,109 832 KM,2010,MANUELLE,-
Nano,Tata, 21.01.2022, INDE,645 €,ESSENCE,32 000 KM,2011,MANUELLE,-
Indigo,Tata, 21.01.2022, INDE,2 225 €,DIESEL,67 000 KM,2012,MANUELLE,-
Verna,Hyundai, 21.01.2022, INDE,4 728 €,DIESEL,80 000 KM,2010,MANUELLE,-
Nano,Tata, 21.01.2022, INDE,890 €,ESSENCE,25 000 KM,2013,MANUELLE,-
Safari,Tata, 21.01.2022, INDE,4 728 €,DIESEL,65 000 KM,2010,MANUELLE,-
Indica,Tata, 21.01.2022, INDE,1 558 €,DIESEL,70 000 KM,2012,MANUELLE,-
Qualis,Toyota, 21.01.2022, INDE,1 558 €,DIESEL,85 000 KM,2002,MANUELLE,-
Manza,Tata, 21.01.2022, INDE,3 338 €,DIESEL,46 393 KM,2012,MANUELLE,-
Superb,Skoda, 21.01.2022, INDE,11 125 €,DIESEL,42 345 KM,2012,AUTOMATIQUE,-
Nano,Tata, 21.01.2022, INDE,779 €,ESSENCE,27 000 KM,2011,MANUELLE,-
Santro,Hyundai, 21.01.2022, INDE,1 057 €,ESSENCE,42 000 KM,2013,MANUELLE,-
Safari,Tata, 21.01.2022, INDE,4 394 €,DIESEL,44 729 KM,2011,MANUELLE,-
Innova,Toyota, 21.01.2022, INDE,7 120 €,DIESEL,137 167 KM,2006,MANUELLE,-
Fiesta,Ford, 21.01.2022, INDE,2 003 €,DIESEL,105 000 KM,2006,MANUELLE,-
City,Honda, 21.01.2022, INDE,6 230 €,ESSENCE,35 000 KM,2011,AUTOMATIQUE,-
Xylo,Mahindra, 21.01.2022, INDE,3 226 €,DIESEL,40 000 KM,2010,MANUELLE,-
Indica,Tata, 21.01.2022, INDE,1 057 €,DIESEL,183 000 KM,2007,MANUELLE,-
Xylo,Mahindra, 21.01.2022, INDE,6 453 €,DIESEL,29 000 KM,2013,MANUELLE,-
Indica vista,Tata, 21.01.2022, INDE,2 003 €,DIESEL,89 600 KM,2009,MANUELLE,-
Etios,Toyota, 21.01.2022, INDE,6 119 €,DIESEL,78 712 KM,2011,MANUELLE,-
Laura,Skoda, 21.01.2022, INDE,5 006 €,ESSENCE,102 487 KM,2008,MANUELLE,-
Safari,Tata, 21.01.2022, INDE,4 450 €,DIESEL,158 000 KM,2011,MANUELLE,-
Nano,Tata, 21.01.2022, INDE,668 €,ESSENCE,65 500 KM,2011,MANUELLE,-
Linea,Fiat, 21.01.2022, INDE,3 449 €,DIESEL,68 000 KM,2010,MANUELLE,-
Xuv500,Mahindra, 21.01.2022, INDE,5 830 €,DIESEL,42 000 KM,2013,MANUELLE,-
Corolla,Toyota, 21.01.2022, INDE,2 781 €,ESSENCE,150 000 KM,2001,-,-
Safari,Tata, 21.01.2022, INDE,5 340 €,DIESEL,39 000 KM,2011,MANUELLE,-
Corolla,Toyota, 21.01.2022, INDE,2 781 €,ESSENCE,86 000 KM,2005,MANUELLE,-
Indigo,Tata, 21.01.2022, INDE,1 613 €,DIESEL,60 000 KM,2010,MANUELLE,-
Indica vista,Tata, 21.01.2022, INDE,1 613 €,DIESEL,46 518 KM,2010,MANUELLE,-
Xuv500,Mahindra, 21.01.2022, INDE,8 121 €,DIESEL,75 000 KM,2011,MANUELLE,-
Laura,Skoda, 21.01.2022, INDE,5 841 €,ESSENCE,56 000 KM,2008,AUTOMATIQUE,-
Corolla,Toyota, 21.01.2022, INDE,4 450 €,ESSENCE,78 584 KM,2008,MANUELLE,-
Qualis,Toyota, 21.01.2022, INDE,2 614 €,DIESEL,152 000 KM,2004,MANUELLE,-
Indica vista,Tata, 21.01.2022, INDE,3 460 €,DIESEL,75 000 KM,2012,MANUELLE,-
Indica,Tata, 21.01.2022, INDE,1 113 €,DIESEL,95 000 KM,2009,MANUELLE,-
Etios,Toyota, 21.01.2022, INDE,3 616 €,GNV,37 000 KM,2012,MANUELLE,-
Corolla,Toyota, 21.01.2022, INDE,7 565 €,DIESEL,55 000 KM,2011,MANUELLE,-
Endeavour,Ford, 21.01.2022, INDE,11 681 €,DIESEL,62 000 KM,2011,MANUELLE,-
Safari,Tata, 21.01.2022, INDE,2 781 €,DIESEL,88 281 KM,2009,MANUELLE,-
Xylo,Mahindra, 21.01.2022, INDE,3 338 €,DIESEL,68 000 KM,2009,MANUELLE,-
Indigo,Tata, 21.01.2022, INDE,1 446 €,ESSENCE,40 600 KM,2007,MANUELLE,-
Laura,Skoda, 21.01.2022, INDE,7 231 €,DIESEL,41 221 KM,2012,MANUELLE,-
Logan,Mahindra, 21.01.2022, INDE,1 057 €,ESSENCE,51 000 KM,2008,MANUELLE,-
Indica,Tata, 21.01.2022, INDE,2 448 €,DIESEL,52 000 KM,2014,MANUELLE,-
Xylo,Mahindra, 21.01.2022, INDE,8 344 €,DIESEL,6 000 KM,2015,MANUELLE,-
Corolla,Toyota, 21.01.2022, INDE,3 059 €,ESSENCE,56 000 KM,2005,MANUELLE,-
Laura,Skoda, 21.01.2022, INDE,5 006 €,DIESEL,64 000 KM,2010,MANUELLE,-
Cr-v,Honda, 21.01.2022, INDE,6 675 €,ESSENCE,70 000 KM,2007,MANUELLE,-
Xylo,Mahindra, 21.01.2022, INDE,3 226 €,DIESEL,78 000 KM,2010,MANUELLE,-
Corolla,Toyota, 21.01.2022, INDE,5 018 €,ESSENCE,33 123 KM,2011,MANUELLE,-
Linea,Fiat, 21.01.2022, INDE,3 616 €,DIESEL,90 000 KM,2010,MANUELLE,-
Superb,Skoda, 21.01.2022, INDE,6 953 €,ESSENCE,50 000 KM,2010,AUTOMATIQUE,-
Safari,Tata, 21.01.2022, INDE,2 781 €,DIESEL,88 000 KM,2005,MANUELLE,-
Indica,Tata, 21.01.2022, INDE,2 225 €,DIESEL,75 000 KM,2013,MANUELLE,-
Nano,Tata, 21.01.2022, INDE,989 €,ESSENCE,12 653 KM,2013,MANUELLE,-
Safari,Tata, 21.01.2022, INDE,3 616 €,DIESEL,125 000 KM,2010,MANUELLE,-
Nano,Tata, 21.01.2022, INDE,779 €,ESSENCE,32 148 KM,2012,MANUELLE,-
Safari,Tata, 21.01.2022, INDE,2 503 €,DIESEL,125 000 KM,2009,MANUELLE,-
Indica,Tata, 21.01.2022, INDE,1 001 €,DIESEL,126 000 KM,2007,MANUELLE,-
Corolla,Toyota, 21.01.2022, INDE,6 397 €,DIESEL,77 565 KM,2011,MANUELLE,-
Superb,Skoda, 21.01.2022, INDE,10 569 €,DIESEL,51 801 KM,2013,MANUELLE,-
City,Honda, 21.01.2022, INDE,9 178 €,DIESEL,21 450 KM,2015,MANUELLE,-
Etios,Toyota, 21.01.2022, INDE,2 770 €,ESSENCE,37 000 KM,2011,MANUELLE,-
Corolla,Toyota, 21.01.2022, INDE,6 619 €,DIESEL,57 000 KM,2011,MANUELLE,-
Cr-v,Honda, 21.01.2022, INDE,7 231 €,ESSENCE,72 000 KM,2007,AUTOMATIQUE,-
Endeavour,Ford, 21.01.2022, INDE,11 125 €,DIESEL,55 000 KM,2011,-,-
Safari,Tata, 21.01.2022, INDE,6 119 €,DIESEL,30 000 KM,2012,MANUELLE,-
Corolla,Toyota, 21.01.2022, INDE,6 230 €,DIESEL,41 000 KM,2010,-,-
Superb,Skoda, 21.01.2022, INDE,6 675 €,ESSENCE,82 002 KM,2010,MANUELLE,-
Tuv300,Mahindra, 21.01.2022, INDE,10 903 €,DIESEL,14 267 KM,2016,AUTOMATIQUE,-
Serie 5,Bmw, 21.01.2022, INDE,12 794 €,ESSENCE,71 000 KM,2008,-,-
Laura,Skoda, 21.01.2022, INDE,9 456 €,DIESEL,65 000 KM,2013,AUTOMATIQUE,-
Manza,Tata, 21.01.2022, INDE,2 585 €,DIESEL,107 953 KM,2010,MANUELLE,-
Fiesta,Ford, 21.01.2022, INDE,3 671 €,DIESEL,132 000 KM,2010,MANUELLE,-
Laura,Skoda, 21.01.2022, INDE,6 675 €,DIESEL,94 888 KM,2007,MANUELLE,-
Safari,Tata, 21.01.2022, INDE,2 781 €,DIESEL,94 000 KM,2008,MANUELLE,-
Classe e,Mercedes, 21.01.2022, INDE,5 674 €,ESSENCE,46 000 KM,2003,AUTOMATIQUE,-
Manza,Tata, 21.01.2022, INDE,1 335 €,ESSENCE,33 700 KM,2012,MANUELLE,-
Indica vista,Tata, 21.01.2022, INDE,2 169 €,DIESEL,48 000 KM,2011,MANUELLE,-
Corolla,Toyota, 21.01.2022, INDE,3 059 €,ESSENCE,93 093 KM,2006,MANUELLE,-
Elantra,Hyundai, 21.01.2022, INDE,2 225 €,DIESEL,64 000 KM,2006,MANUELLE,-
Indigo,Tata, 21.01.2022, INDE,2 503 €,DIESEL,85 362 KM,2012,MANUELLE,-
Indigo,Tata, 21.01.2022, INDE,1 724 €,DIESEL,59 000 KM,2012,MANUELLE,-
Innova,Toyota, 21.01.2022, INDE,7 454 €,DIESEL,165 000 KM,2010,MANUELLE,-
Laura,Skoda, 21.01.2022, INDE,3 949 €,DIESEL,100 000 KM,2006,MANUELLE,-
Linea,Fiat, 21.01.2022, INDE,3 671 €,DIESEL,112 000 KM,2011,MANUELLE,-
Indigo,Tata, 21.01.2022, INDE,2 289 €,DIESEL,102 459 KM,2011,MANUELLE,-
Laura,Skoda, 21.01.2022, INDE,6 119 €,DIESEL,102 000 KM,2010,AUTOMATIQUE,-
Nano,Tata, 21.01.2022, INDE,612 €,ESSENCE,34 000 KM,2011,MANUELLE,-
Indigo,Tata, 21.01.2022, INDE,1 168 €,ESSENCE,48 000 KM,2008,MANUELLE,-
Figo,Ford, 21.01.2022, INDE,3 171 €,DIESEL,57 000 KM,2011,MANUELLE,-
Uva,Chevrolet, 21.01.2022, INDE,3 894 €,DIESEL,43 000 KM,2013,MANUELLE,-
Fusion,Ford, 21.01.2022, INDE,2 781 €,DIESEL,74 000 KM,2009,MANUELLE,-
Indigo,Tata, 21.01.2022, INDE,1 224 €,ESSENCE,95 000 KM,2007,MANUELLE,-
Innova,Toyota, 21.01.2022, INDE,9 401 €,DIESEL,54 000 KM,2012,MANUELLE,-
Aria,Tata, 21.01.2022, INDE,6 675 €,DIESEL,81 000 KM,2011,MANUELLE,-
Corolla,Toyota, 21.01.2022, INDE,5 118 €,ESSENCE,62 000 KM,2009,MANUELLE,-
Classe s,Mercedes, 21.01.2022, INDE,17 800 €,ESSENCE,30 000 KM,2006,AUTOMATIQUE,-
Safari,Tata, 21.01.2022, INDE,3 282 €,DIESEL,77 000 KM,2008,MANUELLE,-
Safari,Tata, 21.01.2022, INDE,5 284 €,DIESEL,55 023 KM,2012,MANUELLE,-
Pajero,Mitsubishi, 21.01.2022, INDE,8 344 €,DIESEL,103 387 KM,2006,MANUELLE,-
City,Honda, 21.01.2022, INDE,4 895 €,ESSENCE,48 000 KM,2010,MANUELLE,-
Safari,Tata, 21.01.2022, INDE,2 503 €,DIESEL,134 000 KM,2004,MANUELLE,-
Sail,Chevrolet, 21.01.2022, INDE,3 671 €,DIESEL,30 000 KM,2013,MANUELLE,-
Indigo,Tata, 21.01.2022, INDE,2 781 €,DIESEL,210 000 KM,2012,MANUELLE,-
Indica,Tata, 21.01.2022, INDE,2 781 €,DIESEL,55 000 KM,2009,MANUELLE,-
Fiesta,Ford, 21.01.2022, INDE,4 450 €,DIESEL,70 000 KM,2012,MANUELLE,-
Xylo,Mahindra, 21.01.2022, INDE,4 339 €,DIESEL,54 000 KM,2010,AUTOMATIQUE,-
Figo,Ford, 21.01.2022, INDE,3 226 €,DIESEL,72 000 KM,2010,MANUELLE,-
Fiesta,Ford, 21.01.2022, INDE,4 561 €,DIESEL,78 191 KM,2010,MANUELLE,-
City,Honda, 21.01.2022, INDE,5 006 €,ESSENCE,55 000 KM,2009,MANUELLE,-
Manza,Tata, 21.01.2022, INDE,3 171 €,DIESEL,37 000 KM,2011,MANUELLE,-
Nano,Tata, 21.01.2022, INDE,723 €,ESSENCE,15 000 KM,2011,MANUELLE,-
Pajero,Mitsubishi, 21.01.2022, INDE,22 250 €,DIESEL,123 000 KM,2013,MANUELLE,-
Corolla,Toyota, 21.01.2022, INDE,5 551 €,DIESEL,62 000 KM,2011,MANUELLE,-
Figo,Ford, 21.01.2022, INDE,3 616 €,DIESEL,52 000 KM,2011,MANUELLE,-
Classe c,Mercedes, 21.01.2022, INDE,22 250 €,DIESEL,52 000 KM,2013,AUTOMATIQUE,-
Laura,Skoda, 21.01.2022, INDE,6 119 €,DIESEL,84 500 KM,2010,MANUELLE,-
Safari,Tata, 21.01.2022, INDE,5 006 €,DIESEL,90 000 KM,2013,MANUELLE,-
Indica,Tata, 21.01.2022, INDE,1 613 €,DIESEL,85 000 KM,2006,MANUELLE,-
City,Honda, 21.01.2022, INDE,5 841 €,GNV,52 000 KM,2011,MANUELLE,-
Nano,Tata, 21.01.2022, INDE,946 €,ESSENCE,9 200 KM,2013,MANUELLE,-
Nano,Tata, 21.01.2022, INDE,768 €,ESSENCE,95 000 KM,2009,MANUELLE,-
Figo,Ford, 21.01.2022, INDE,3 894 €,DIESEL,52 000 KM,2011,MANUELLE,-
Innova,Toyota, 21.01.2022, INDE,9 846 €,DIESEL,84 576 KM,2012,MANUELLE,-
Micra,Nissan, 21.01.2022, INDE,3 671 €,DIESEL,110 000 KM,2012,MANUELLE,-
City,Honda, 21.01.2022, INDE,4 784 €,ESSENCE,89 865 KM,2009,MANUELLE,-
Fiesta,Ford, 21.01.2022, INDE,2 225 €,DIESEL,80 000 KM,2006,MANUELLE,-
Nano,Tata, 21.01.2022, INDE,890 €,ESSENCE,26 000 KM,2011,MANUELLE,-
Fiesta,Ford, 21.01.2022, INDE,4 728 €,DIESEL,39 000 KM,2011,MANUELLE,-
Corolla,Toyota, 21.01.2022, INDE,2 781 €,ESSENCE,98 000 KM,2004,MANUELLE,-
Corolla,Toyota, 21.01.2022, INDE,2 225 €,ESSENCE,150 000 KM,2003,MANUELLE,-
Safari,Tata, 21.01.2022, INDE,3 115 €,DIESEL,100 000 KM,2005,MANUELLE,-
Indica,Tata, 21.01.2022, INDE,1 836 €,DIESEL,60 000 KM,2010,MANUELLE,-
Indigo,Tata, 21.01.2022, INDE,2 614 €,DIESEL,55 000 KM,2012,MANUELLE,-
Figo,Ford, 21.01.2022, INDE,6 119 €,DIESEL,13 000 KM,2014,MANUELLE,-
Indica,Tata, 21.01.2022, INDE,1 724 €,DIESEL,110 000 KM,2011,MANUELLE,-
Xylo,Mahindra, 21.01.2022, INDE,4 728 €,DIESEL,46 500 KM,2011,MANUELLE,-
Fiesta,Ford, 21.01.2022, INDE,4 172 €,DIESEL,123 152 KM,2010,MANUELLE,-
Safari,Tata, 21.01.2022, INDE,7 231 €,DIESEL,48 000 KM,2012,MANUELLE,-
S60,Volvo, 21.01.2022, INDE,23 363 €,DIESEL,41 000 KM,2013,-,-
Laura,Skoda, 21.01.2022, INDE,5 118 €,ESSENCE,45 306 KM,2010,MANUELLE,-
Superb,Skoda, 21.01.2022, INDE,7 788 €,ESSENCE,100 000 KM,2010,MANUELLE,-
Bolero,Mahindra, 21.01.2022, INDE,6 675 €,DIESEL,53 000 KM,2011,MANUELLE,-
Laura,Skoda, 21.01.2022, INDE,3 894 €,DIESEL,138 000 KM,2008,MANUELLE,-
Indigo,Tata, 21.01.2022, INDE,1 279 €,DIESEL,181 960 KM,2005,MANUELLE,-
Verna,Hyundai, 21.01.2022, INDE,10 235 €,ESSENCE,7 000 KM,2016,AUTOMATIQUE,-
Verna,Hyundai, 21.01.2022, INDE,8 900 €,DIESEL,60 000 KM,2012,AUTOMATIQUE,-
Jazz,Honda, 21.01.2022, INDE,4 450 €,ESSENCE,45 000 KM,2011,MANUELLE,-
Figo,Ford, 21.01.2022, INDE,3 338 €,ESSENCE,62 000 KM,2011,MANUELLE,-
Figo,Ford, 21.01.2022, INDE,3 059 €,DIESEL,70 000 KM,2011,MANUELLE,-
Xylo,Mahindra, 21.01.2022, INDE,4 116 €,DIESEL,105 000 KM,2010,MANUELLE,-
Safari,Tata, 21.01.2022, INDE,8 177 €,DIESEL,30 000 KM,2012,MANUELLE,-
Serie 5 gt,Bmw, 21.01.2022, INDE,14 463 €,ESSENCE,86 000 KM,2010,AUTOMATIQUE,-
Sumo grande,Tata, 21.01.2022, INDE,3 004 €,DIESEL,140 000 KM,2012,MANUELLE,-
Indigo,Tata, 21.01.2022, INDE,3 560 €,ESSENCE,68 623 KM,2007,MANUELLE,-
Punto,Fiat, 21.01.2022, INDE,2 726 €,ESSENCE,93 979 KM,2010,MANUELLE,-
Redi-go,Datsun, 21.01.2022, INDE,3 894 €,ESSENCE,4 118 KM,2016,MANUELLE,-
Laura,Skoda, 21.01.2022, INDE,3 894 €,DIESEL,87 000 KM,2007,MANUELLE,-
Laura,Skoda, 21.01.2022, INDE,8 900 €,DIESEL,75 000 KM,2011,AUTOMATIQUE,-
Indica vista,Tata, 21.01.2022, INDE,3 338 €,DIESEL,25 000 KM,2011,MANUELLE,-
Bolero,Mahindra, 21.01.2022, INDE,5 563 €,DIESEL,68 000 KM,2014,MANUELLE,-
Linea,Fiat, 21.01.2022, INDE,3 727 €,DIESEL,79 000 KM,2012,MANUELLE,-
Manza,Tata, 21.01.2022, INDE,3 449 €,DIESEL,35 000 KM,2011,MANUELLE,-
Laura,Skoda, 21.01.2022, INDE,6 675 €,DIESEL,87 000 KM,2008,MANUELLE,-
Indica,Tata, 21.01.2022, INDE,1 335 €,DIESEL,84 000 KM,2009,MANUELLE,-
Corolla,Toyota, 21.01.2022, INDE,3 004 €,ESSENCE,81 000 KM,2004,AUTOMATIQUE,-
Indica vista,Tata, 21.01.2022, INDE,2 003 €,DIESEL,52 000 KM,2009,MANUELLE,-
Corolla,Toyota, 21.01.2022, INDE,2 392 €,ESSENCE,62 000 KM,2004,MANUELLE,-
Octavia,Skoda, 21.01.2022, INDE,4 061 €,DIESEL,180 000 KM,2008,MANUELLE,-
Indigo,Tata, 21.01.2022, INDE,3 560 €,DIESEL,48 282 KM,2015,MANUELLE,-
